step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.083762988448143,0.10144894570112228,0.71622634,1,0.00019290123600512743
1,0.08336596190929413,0.1011764407157898,0.7163888,6,0.0005410832236520946
2,0.08289289474487305,0.10082462430000305,0.71662587,11,0.0009537666919641197
3,0.08210182934999466,0.10020431131124496,0.71700794,20,0.0017423570388928056
4,0.08131760358810425,0.09951431304216385,0.71744764,26,0.00254366104491055
5,0.08037269860506058,0.0986599400639534,0.71792877,39,0.00388105190359056
6,0.07968183606863022,0.09795787185430527,0.7182016,50,0.005711738485842943
7,0.0794883444905281,0.09736740589141846,0.7183468,59,0.007733411155641079
8,0.07912862300872803,0.09654396027326584,0.7187667,73,0.009912373498082161
9,0.0783948227763176,0.09553539752960205,0.7190535,87,0.012492218054831028
10,0.07779624313116074,0.09467115253210068,0.7188209,101,0.015721634030342102
11,0.07692593336105347,0.09386201202869415,0.7187041,119,0.01864672265946865
12,0.0764642059803009,0.09306836873292923,0.71907574,137,0.02138921432197094
13,0.07558117061853409,0.09187574684619904,0.7193711,157,0.02442311681807041
14,0.07447879761457443,0.09060650318861008,0.7196154,178,0.028337769210338593
15,0.07328431308269501,0.08952338248491287,0.72004646,199,0.031633783131837845
16,0.07162246853113174,0.0880463570356369,0.7208806,217,0.03511606901884079
17,0.06979147344827652,0.08641724288463593,0.7219359,237,0.039145540446043015
18,0.06738687306642532,0.08476957678794861,0.7232439,273,0.04307885095477104
19,0.06506824493408203,0.0829239934682846,0.7241326,297,0.04669217765331268
20,0.06241654232144356,0.08082383126020432,0.7254129,317,0.050230078399181366
21,0.05936587229371071,0.07842544466257095,0.7276005,342,0.0543227382004261
22,0.05629764869809151,0.07593560218811035,0.7298534,375,0.05822514742612839
23,0.053300075232982635,0.07335417717695236,0.73263586,400,0.0621940940618515
24,0.049790289252996445,0.07034280896186829,0.73620623,426,0.06639779359102249
25,0.046624790877103806,0.06749395281076431,0.7400837,447,0.06979209184646606
26,0.04369868338108063,0.06469522416591644,0.74424237,472,0.07331899553537369
27,0.040676627308130264,0.06179667264223099,0.74885786,494,0.07714764028787613
28,0.03775130584836006,0.05916193872690201,0.7532528,520,0.08084411919116974
29,0.03485804796218872,0.05646521970629692,0.7582872,548,0.0845765471458435
30,0.03213456645607948,0.05411485210061073,0.7629019,566,0.08777838945388794
31,0.029438262805342674,0.05146099627017975,0.76892155,595,0.09147089719772339
32,0.026709167286753654,0.0487746000289917,0.7755611,621,0.09515397250652313
33,0.024270104244351387,0.046205416321754456,0.78303754,645,0.09860561788082123
34,0.022005900740623474,0.04372095316648483,0.7914986,666,0.10182420909404755
35,0.019655458629131317,0.04125126823782921,0.8002,690,0.10533973574638367
36,0.017748288810253143,0.039068326354026794,0.80869216,708,0.10827264934778214
37,0.016138380393385887,0.03703879192471504,0.81671864,728,0.11094365268945694
38,0.014584582298994064,0.03496520593762398,0.8249006,736,0.11289696395397186
39,0.013019508682191372,0.03290139511227608,0.83360606,745,0.11537215113639832
40,0.011805204674601555,0.031091848388314247,0.84164405,749,0.11776608228683472
41,0.010752002708613873,0.029377272352576256,0.8485491,756,0.11985093355178833
