step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.083762988448143,0.10144894570112228,0.71622634,1,0.00019290123600512743
1,0.0837041512131691,0.10141904652118683,0.7162914,5,0.0003681422967929393
2,0.08344574272632599,0.10124553740024567,0.7163724,9,0.0007013187278062105
3,0.08310844004154205,0.10098341852426529,0.7165134,14,0.0012169914552941918
4,0.08268977701663971,0.10067646950483322,0.71670395,20,0.0018114346312358975
5,0.08197581022977829,0.10017496347427368,0.71694744,32,0.002777666551992297
6,0.08109857141971588,0.09947267919778824,0.7172969,41,0.004188755992799997
7,0.08028140664100647,0.09873464703559875,0.7175621,49,0.005828732158988714
8,0.07921118289232254,0.09782141447067261,0.7179115,63,0.007741848472505808
9,0.07821738719940186,0.0969637781381607,0.71792614,76,0.00985812023282051
10,0.07670313864946365,0.09567666053771973,0.7180451,93,0.012624471448361874
11,0.07549100369215012,0.09458955377340317,0.718182,107,0.015250309370458126
12,0.07418953627347946,0.09349767863750458,0.7182504,122,0.01786128431558609
13,0.0726303905248642,0.09207664430141449,0.71832323,140,0.020501552149653435
14,0.07102765887975693,0.09059694409370422,0.71853244,155,0.023844555020332336
15,0.06956498324871063,0.08919989317655563,0.7186708,174,0.026904888451099396
16,0.06788190454244614,0.08766148239374161,0.7190766,187,0.030592935159802437
17,0.06576161086559296,0.08571074903011322,0.7196592,211,0.03428483009338379
18,0.06382368505001068,0.0840865969657898,0.7207668,229,0.0382247269153595
19,0.06180714815855026,0.08237366378307343,0.7218314,249,0.04194153845310211
20,0.05964896082878113,0.0805150493979454,0.72276336,271,0.04562228173017502
21,0.05720306187868118,0.07838282734155655,0.7242205,292,0.04937312752008438
22,0.05457909777760506,0.07587271928787231,0.7257939,312,0.05338285490870476
23,0.05230037122964859,0.07378972321748734,0.72743,333,0.05672679841518402
24,0.04956310614943504,0.07120241224765778,0.730042,356,0.06076176464557648
25,0.047370459884405136,0.06889086961746216,0.73238313,377,0.0640728771686554
26,0.04481879621744156,0.06629025191068649,0.7353763,394,0.06782771646976471
27,0.042507387697696686,0.0639837384223938,0.7382332,427,0.07158342003822327
28,0.040304429829120636,0.06175266206264496,0.74085134,448,0.07515182346105576
29,0.0381401889026165,0.05957271531224251,0.7439222,467,0.07840103656053543
30,0.036217767745256424,0.057697489857673645,0.7471196,489,0.08097057789564133
31,0.03414429724216461,0.05538036674261093,0.7512679,513,0.08410237729549408
32,0.03199741989374161,0.05309070646762848,0.75568277,533,0.08731554448604584
33,0.030076751485466957,0.051063962280750275,0.75999415,551,0.08978106826543808
34,0.028282200917601585,0.04904042184352875,0.7646721,570,0.09270333498716354
35,0.026379240676760674,0.046962134540081024,0.7695577,589,0.09589280933141708
36,0.02463437430560589,0.044922053813934326,0.7758187,604,0.09876435250043869
37,0.023145342245697975,0.04318283498287201,0.780621,625,0.10125187039375305
38,0.021567057818174362,0.04129043221473694,0.7863817,639,0.10375917702913284
39,0.01992875337600708,0.03937939181923866,0.7932059,664,0.10641506314277649
40,0.018322812393307686,0.037478893995285034,0.80028844,673,0.10909657180309296
41,0.016873465850949287,0.03567088022828102,0.8073149,688,0.11171875149011612
42,0.01543932594358921,0.03394743427634239,0.81457496,703,0.1140759289264679
43,0.014087775722146034,0.032218899577856064,0.82265604,717,0.11641544848680496
44,0.012842198833823204,0.030449260026216507,0.83125854,730,0.1185629665851593
45,0.011717617511749268,0.028918879106640816,0.8389364,746,0.12062082439661026
