step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.05090281367301941,0.06807595491409302,0.7005345,1,0.00019290123600512743
1,0.05069750174880028,0.06789963692426682,0.7007952,6,0.0005004702252335846
2,0.050187353044748306,0.0674886554479599,0.7010231,16,0.001339330105111003
3,0.04956666752696037,0.06694764643907547,0.70138645,27,0.0025576665066182613
4,0.048911381512880325,0.0664154589176178,0.7017044,40,0.0043053897097706795
5,0.048085376620292664,0.06571755558252335,0.7022661,55,0.006641183979809284
6,0.04727845638990402,0.06499510258436203,0.70259714,73,0.010417747311294079
7,0.04659252613782883,0.0643867701292038,0.70299995,89,0.014790055342018604
8,0.04553632810711861,0.06328029185533524,0.70321697,110,0.018525106832385063
9,0.044361989945173264,0.06232224032282829,0.70350444,134,0.022426223382353783
10,0.04287758097052574,0.06103721261024475,0.7045275,152,0.02554761990904808
11,0.040952783077955246,0.0592891201376915,0.7057148,186,0.030375506728887558
12,0.03950222581624985,0.05805547162890434,0.70628357,213,0.03551048785448074
13,0.038015831261873245,0.05665129795670509,0.70632976,234,0.039753109216690063
14,0.03619924560189247,0.05501723662018776,0.70677024,261,0.044321633875370026
15,0.03503098711371422,0.053946446627378464,0.7074665,285,0.048368167132139206
16,0.03351283445954323,0.0525352880358696,0.7078543,314,0.05291638523340225
17,0.03200641646981239,0.05116453394293785,0.7090162,340,0.05774909630417824
18,0.030413314700126648,0.04969680309295654,0.71035993,354,0.0618283674120903
19,0.028894884511828423,0.04813069477677345,0.71246016,374,0.0655723586678505
20,0.027582477778196335,0.04678421840071678,0.71436745,395,0.06919347494840622
21,0.026555852964520454,0.04566160961985588,0.7169734,407,0.07273323088884354
22,0.02538088895380497,0.04448451101779938,0.7185712,422,0.07629124820232391
23,0.02406414970755577,0.0431658960878849,0.7210654,441,0.07874322682619095
24,0.022510280832648277,0.04139314219355583,0.72561526,464,0.08201683312654495
25,0.021248245611786842,0.03989982232451439,0.72931564,475,0.08433288335800171
26,0.019957618787884712,0.0383986197412014,0.73322076,491,0.08705443143844604
27,0.01852535270154476,0.036715779453516006,0.7383703,507,0.08973322808742523
28,0.01731073297560215,0.03518209233880043,0.7440295,519,0.09197523444890976
29,0.016346458345651627,0.03401206433773041,0.7484708,531,0.09425149112939835
30,0.015307096764445305,0.03272312879562378,0.7546823,548,0.0960770919919014
31,0.014303374104201794,0.03136773779988289,0.7617246,559,0.09857697784900665
32,0.013309045694768429,0.030062848702073097,0.7693714,573,0.1008141040802002
33,0.012458143755793571,0.028946394100785255,0.7754152,586,0.10277163982391357
34,0.011446388438344002,0.02742813341319561,0.7842028,601,0.10484427958726883
35,0.010451052337884903,0.026044784113764763,0.79234976,617,0.10689166933298111
36,0.009605188854038715,0.024785630404949188,0.8003773,622,0.10879502445459366
37,0.008956716395914555,0.02369789220392704,0.8076393,637,0.1101885661482811
38,0.008284206502139568,0.0226298738270998,0.81514764,649,0.11152518540620804
39,0.007559877820312977,0.021555768325924873,0.82410854,655,0.11329994350671768
40,0.00706450454890728,0.020714256912469864,0.83093894,661,0.11426153033971786
41,0.006435370072722435,0.019709525629878044,0.83905464,670,0.11549361050128937
42,0.0058014728128910065,0.018599284812808037,0.8482341,684,0.11704058945178986
43,0.005247301422059536,0.017654839903116226,0.85605603,691,0.11830200254917145
44,0.004765626974403858,0.01664244756102562,0.8644246,701,0.11947672069072723
45,0.004341821651905775,0.015758061781525612,0.87290084,711,0.12037354707717896
46,0.003943904303014278,0.014871539548039436,0.8808685,719,0.12124836444854736
47,0.0035267118364572525,0.013922717422246933,0.8891814,725,0.12232998013496399
48,0.0031925674993544817,0.01316929329186678,0.89570445,732,0.1230841651558876
49,0.0027855855878442526,0.012355659157037735,0.90383047,734,0.1238780990242958
50,0.0024343449622392654,0.011519082821905613,0.9125384,746,0.12471365928649902
51,0.0021061846055090427,0.010724914260208607,0.92134565,749,0.1256433129310608
52,0.0018754940247163177,0.010143378749489784,0.9281493,754,0.12640325725078583
53,0.0016464112559333444,0.009575724601745605,0.93449247,762,0.12712226808071136
54,0.001450043055228889,0.008994567207992077,0.9412363,765,0.12766417860984802
55,0.0012554303975775838,0.008490346372127533,0.9476731,768,0.12827074527740479
56,0.0010864828946068883,0.00793909840285778,0.95353603,767,0.1288721263408661
57,0.0009545380598865449,0.007481851615011692,0.9579104,767,0.12930256128311157
58,0.0008197498391382396,0.007022175006568432,0.9623571,772,0.1297130584716797
59,0.0006947335205040872,0.006605997681617737,0.9671828,775,0.13015443086624146
60,0.0006048989598639309,0.006261205766350031,0.97042316,777,0.1304587870836258
61,0.0005307170795276761,0.0059214564971625805,0.9727902,775,0.13071052730083466
62,0.00045596688869409263,0.005621463526040316,0.97595054,777,0.13108278810977936
63,0.0004165989812463522,0.0054120225831866264,0.97723293,777,0.13128907978534698
64,0.00038209374179132283,0.005221534986048937,0.9786061,776,0.13150161504745483
65,0.00034013341064564884,0.005011440254747868,0.9800828,777,0.13164573907852173
66,0.00029487439314834774,0.004782207775861025,0.98181623,774,0.13185322284698486
67,0.000257793755736202,0.004571996163576841,0.9835036,778,0.13201092183589935
68,0.0002295268641319126,0.004394167568534613,0.9845748,778,0.13216160237789154
69,0.00021271727746352553,0.00424277363345027,0.9850659,776,0.13224178552627563
70,0.00019273160432931036,0.004081585444509983,0.9859368,777,0.1322910338640213
71,0.00017246807692572474,0.00393309723585844,0.98669124,779,0.13236665725708008
72,0.00016057970060501248,0.003802923485636711,0.9872376,778,0.13238579034805298
73,0.00015127069491427392,0.0036966281477361917,0.9877261,778,0.1323552280664444
74,0.00013883312931284308,0.003607221180573106,0.9882228,778,0.13240671157836914
75,0.0001335694541921839,0.0035547290463000536,0.98838544,780,0.1324574053287506
76,0.00012528206571005285,0.003477343125268817,0.9885975,780,0.13250724971294403
77,0.0001197021992993541,0.0034219741355627775,0.98886144,780,0.13254497945308685
78,0.00011650553642539307,0.0033805961720645428,0.98887265,780,0.1325676292181015
79,0.00011301589984213933,0.0033312933519482613,0.9888913,779,0.13258406519889832
80,0.00011077645467594266,0.003308672923594713,0.9887897,778,0.13258711993694305
81,0.00010820977331604809,0.003276268020272255,0.98891646,778,0.13255979120731354
82,0.0001068011624738574,0.0032527241855859756,0.9890011,778,0.13255493342876434
83,0.00010386878420831636,0.0032183050643652678,0.9892206,779,0.13259464502334595
84,0.00010096927871927619,0.003180302679538727,0.9894169,779,0.1325826793909073
85,9.897461859509349e-05,0.00315859611146152,0.9896971,779,0.13257285952568054
86,9.841996507020667e-05,0.003151017939671874,0.9898472,778,0.13259004056453705
87,9.649779531173408e-05,0.0031183490063995123,0.99017394,777,0.1325753778219223
88,9.474877151660621e-05,0.0030963269528001547,0.99037784,775,0.13259254395961761
89,9.360938565805554e-05,0.003089222591370344,0.99042946,775,0.13259951770305634
90,9.3701652076561e-05,0.0030880658887326717,0.99048555,775,0.13259881734848022
91,9.356336522614583e-05,0.0030868223402649164,0.9905151,774,0.1325780302286148
92,9.387694444740191e-05,0.0030929280910640955,0.9905993,774,0.13260260224342346
93,9.423127630725503e-05,0.0030955239199101925,0.99061286,774,0.13260571658611298
94,9.464575123274699e-05,0.0031035130377858877,0.9906167,775,0.13261909782886505
95,9.577732271282002e-05,0.003119009081274271,0.9904074,775,0.13262616097927094
96,9.766575385583565e-05,0.0031425172928720713,0.9902286,775,0.13262999057769775
97,9.82064739218913e-05,0.003154575824737549,0.99021244,776,0.13264842331409454
98,0.00010026529344031587,0.0031874929554760456,0.9899919,778,0.1326640397310257
99,0.00010171173926210031,0.0032170016784220934,0.9896196,779,0.13270394504070282
100,0.00010354598634876311,0.0032531467732042074,0.9889403,783,0.13274183869361877
