step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.05090281367301941,0.06807595491409302,0.7005345,1,0.00019290123600512743
1,0.050774045288562775,0.06798519194126129,0.70067894,6,0.0003567385138012469
2,0.05068671703338623,0.06793243438005447,0.70085794,8,0.00040422569145448506
3,0.0505942702293396,0.06782065331935883,0.7010536,12,0.0007356569985859096
4,0.050538092851638794,0.06774544715881348,0.70124054,15,0.0010793085675686598
5,0.0503743477165699,0.06764233857393265,0.7016595,24,0.0018154934514313936
6,0.05035962164402008,0.06764534115791321,0.7019314,34,0.0027043235022574663
7,0.050754524767398834,0.06777574121952057,0.7022564,42,0.003947738092392683
8,0.05130888521671295,0.06782615929841995,0.7024343,54,0.004962547216564417
9,0.052705347537994385,0.06820670515298843,0.7026413,66,0.0061295004561543465
10,0.05369509011507034,0.06836704164743423,0.70288086,86,0.007361105177551508
11,0.05417907238006592,0.06828887015581131,0.70295215,102,0.009088663384318352
12,0.05525966361165047,0.0682731345295906,0.70304155,130,0.011261049658060074
13,0.05606527253985405,0.06825415790081024,0.7032085,148,0.013769158162176609
14,0.05611858889460564,0.06792936474084854,0.70339704,163,0.016380460932850838
15,0.05599549412727356,0.06772824376821518,0.7034433,182,0.018259327858686447
16,0.055457863956689835,0.06723688542842865,0.7034072,204,0.02139165811240673
17,0.05520758777856827,0.06678896397352219,0.7033638,229,0.02427820861339569
18,0.05445808172225952,0.06619895249605179,0.7034081,248,0.027905937284231186
19,0.05372554436326027,0.0655103549361229,0.70396763,270,0.031053004786372185
20,0.05312468856573105,0.064891517162323,0.7047528,296,0.03509962558746338
21,0.05227307230234146,0.06410457193851471,0.7053199,313,0.03797749802470207
22,0.05094507709145546,0.06302472949028015,0.70632386,344,0.04189760237932205
23,0.04962069168686867,0.062043920159339905,0.7076416,367,0.04528384283185005
24,0.04853372275829315,0.06093806400895119,0.7093205,387,0.049089912325143814
25,0.04650801420211792,0.05960487946867943,0.71095145,403,0.05256976559758186
26,0.04295707494020462,0.05780618637800217,0.71293354,430,0.056610576808452606
27,0.040465082973241806,0.056046243757009506,0.71549356,458,0.06077992543578148
28,0.03803528845310211,0.05435965210199356,0.71841294,475,0.06486506760120392
29,0.03575960919260979,0.05270017310976982,0.72158766,494,0.06852742284536362
30,0.03261012211441994,0.050660062581300735,0.72593254,520,0.07261274009943008
31,0.030071528628468513,0.048736102879047394,0.7318927,539,0.07639768719673157
32,0.027931654825806618,0.04693903028964996,0.73754525,562,0.08019944280385971
33,0.025632068514823914,0.04517986997961998,0.7427037,587,0.08396360278129578
34,0.023530609905719757,0.0433666855096817,0.74910855,611,0.08788441121578217
35,0.021301977336406708,0.04151584953069687,0.7555956,634,0.09148234874010086
36,0.01942916214466095,0.03978150710463524,0.76189417,655,0.09519504010677338
37,0.017803745344281197,0.038164734840393066,0.7681805,667,0.09809646010398865
38,0.016461163759231567,0.036705851554870605,0.7747538,686,0.10086313635110855
39,0.014889095909893513,0.03494183346629143,0.7822971,704,0.10393933951854706
40,0.013550360687077045,0.03342454135417938,0.78861356,713,0.10642965137958527
41,0.012406846508383751,0.03203687071800232,0.7947224,725,0.10876158624887466
42,0.011269998736679554,0.030568204820156097,0.8014995,734,0.11078465729951859
43,0.010295215994119644,0.029265156015753746,0.80728066,750,0.11262227594852448
44,0.009289813227951527,0.028017953038215637,0.8136167,759,0.11450718343257904
45,0.00841305498033762,0.026731222867965698,0.8203942,769,0.11596395820379257
46,0.007647124119102955,0.025491759181022644,0.82770634,776,0.1174035519361496
47,0.006891326978802681,0.0242425799369812,0.8346864,784,0.11884192377328873
48,0.006281411275267601,0.02312268689274788,0.8411275,788,0.11999795585870743
49,0.0056716687977313995,0.022002918645739555,0.8484909,795,0.12115046381950378
50,0.00515622878447175,0.020906193181872368,0.8565343,799,0.12219711393117905
51,0.00469684973359108,0.019849088042974472,0.8649293,803,0.12296769767999649
52,0.004295325372368097,0.018919751048088074,0.87263525,800,0.12373892217874527
53,0.003886796534061432,0.017904464155435562,0.88064766,807,0.12469222396612167
54,0.003488399088382721,0.016955029219388962,0.8885959,807,0.12553250789642334
55,0.0031948830001056194,0.016230065375566483,0.8955957,805,0.1263592392206192
56,0.0029082156252115965,0.015434902161359787,0.9023121,806,0.1269870549440384
57,0.0026609860360622406,0.014794085174798965,0.90798545,806,0.1276848316192627
58,0.002457807306200266,0.014280631206929684,0.9127977,809,0.12840640544891357
59,0.0022484962828457355,0.01373697817325592,0.91836625,818,0.12898126244544983
60,0.002065235748887062,0.013172268867492676,0.9226928,823,0.12947240471839905
61,0.0018922521267086267,0.012572326697409153,0.9266939,821,0.1298762857913971
62,0.0017373609589412808,0.012072163634002209,0.9315459,817,0.1302533596754074
63,0.0016468145186081529,0.011693030595779419,0.9338601,817,0.1304996758699417
64,0.0015474820975214243,0.011351460590958595,0.93655664,818,0.13078247010707855
65,0.0014325238298624754,0.010914194397628307,0.9400189,815,0.13105960190296173
66,0.0013293239753693342,0.01055376511067152,0.9432483,817,0.13132579624652863
67,0.001259403652511537,0.010289167053997517,0.9454662,816,0.1315430998802185
68,0.001186690991744399,0.010016318410634995,0.9476824,815,0.13170874118804932
69,0.0011323835933580995,0.009793928824365139,0.9490731,810,0.13181528449058533
70,0.0010777130955830216,0.009550078772008419,0.9509113,812,0.13190911710262299
71,0.0010355568956583738,0.009354015812277794,0.95234346,814,0.13201668858528137
72,0.0009913784451782703,0.009111233986914158,0.95435596,811,0.13206477463245392
73,0.0009606260573491454,0.008948449976742268,0.95584726,810,0.13212533295154572
