step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.030425047501921654,0.04302829131484032,0.7920287,1,0.00019290123600512743
1,0.03030511736869812,0.04294758662581444,0.79205376,4,0.000372738839359954
2,0.029865918681025505,0.04249512776732445,0.7923063,9,0.001386436983011663
3,0.029551535844802856,0.04223549738526344,0.7925472,15,0.0020670120138674974
4,0.028716377913951874,0.04145937040448189,0.7936205,28,0.0036919726990163326
5,0.027687063440680504,0.0404784232378006,0.7953479,45,0.005770225543528795
6,0.026805082336068153,0.03956451639533043,0.7973457,55,0.007647903636097908
7,0.02569781057536602,0.03849322721362114,0.80030227,76,0.010529504157602787
8,0.02479194663465023,0.03752719610929489,0.8028845,89,0.012791886925697327
9,0.023991510272026062,0.0367131233215332,0.80514324,102,0.015024702996015549
10,0.02327382192015648,0.035971254110336304,0.8071116,116,0.01731111668050289
11,0.02219938300549984,0.03480996564030647,0.8101662,131,0.019209416583180428
12,0.02127107046544552,0.033861126750707626,0.8133826,149,0.021227069199085236
13,0.02062707394361496,0.03313618525862694,0.81508946,162,0.02239719219505787
14,0.01981792412698269,0.03216264769434929,0.81819695,175,0.024812709540128708
15,0.01914149895310402,0.03137796372175217,0.8203515,190,0.026674842461943626
16,0.018458085134625435,0.03068314678966999,0.82260454,201,0.02885431982576847
17,0.01796603575348854,0.03009040653705597,0.8247282,212,0.030293475836515427
18,0.0171797052025795,0.029287215322256088,0.8277224,232,0.03256076201796532
19,0.016608858481049538,0.028578782454133034,0.82987106,242,0.03439609706401825
20,0.01605488546192646,0.027902496978640556,0.8326768,251,0.0357574000954628
21,0.015440328978002071,0.02721104584634304,0.8357356,261,0.03751581534743309
22,0.014823154546320438,0.026503730565309525,0.8387721,278,0.039271142333745956
23,0.014241437427699566,0.025779953226447105,0.84200984,289,0.04102737084031105
24,0.013460866175591946,0.024915680289268494,0.84671843,309,0.04306492954492569
25,0.012764793820679188,0.024053163826465607,0.85071635,320,0.04488707333803177
26,0.012098941951990128,0.02320186235010624,0.8552332,327,0.04661563038825989
27,0.011561314575374126,0.022491632029414177,0.85906273,335,0.04817960411310196
28,0.010951042175292969,0.02169986069202423,0.863708,347,0.0495041161775589
29,0.010403607040643692,0.020928990095853806,0.86811423,351,0.05094948038458824
