step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.030425047501921654,0.04302829131484032,0.7920287,1,0.00019290123600512743
1,0.030319979414343834,0.042951807379722595,0.79205656,3,0.00038132196641527116
2,0.0301436148583889,0.04281671717762947,0.79221034,7,0.0006202080403454602
3,0.030005399137735367,0.04269866645336151,0.7923629,10,0.0007756099221296608
4,0.029626019299030304,0.04237961396574974,0.79273325,18,0.0014609547797590494
5,0.029184527695178986,0.04193692281842232,0.79343086,27,0.0022796380799263716
6,0.028423957526683807,0.04120277613401413,0.79465604,35,0.0035785441286861897
7,0.027453387156128883,0.04025794193148613,0.79704237,50,0.005794913042336702
8,0.02664126828312874,0.039461035281419754,0.7992304,68,0.00788126140832901
9,0.026057040318846703,0.038709964603185654,0.80179095,77,0.010826783254742622
10,0.02496982552111149,0.03768565505743027,0.8048669,99,0.013389673084020615
11,0.024358563125133514,0.036957334727048874,0.80702055,115,0.015998510643839836
12,0.02399267628788948,0.0366845540702343,0.80842006,131,0.018485967069864273
13,0.023546366021037102,0.03604099899530411,0.81034446,142,0.020376641303300858
14,0.022684937343001366,0.034988898783922195,0.8129053,164,0.023364095017313957
15,0.02165752463042736,0.034002676606178284,0.8161849,185,0.026422344148159027
16,0.020764164626598358,0.0330788753926754,0.8179504,202,0.0286566149443388
17,0.01987450197339058,0.03229442238807678,0.8193431,222,0.030520357191562653
18,0.018955063074827194,0.03154230862855911,0.8218788,241,0.03294835984706879
19,0.018106386065483093,0.03074810281395912,0.8244029,258,0.035076528787612915
20,0.017365725710988045,0.030012302100658417,0.8274064,271,0.03678705543279648
21,0.01666434295475483,0.02937621809542179,0.8302579,288,0.03856436908245087
22,0.015732193365693092,0.028434140607714653,0.8346399,306,0.04019254073500633
23,0.014826959930360317,0.02738274447619915,0.8395162,319,0.042291060090065
24,0.013975541107356548,0.026339786127209663,0.8443284,339,0.04442205652594566
25,0.01335232611745596,0.025592302903532982,0.84785604,353,0.04574102908372879
26,0.01258400920778513,0.024727005511522293,0.8525366,369,0.04731937497854233
27,0.011815657839179039,0.023796290159225464,0.8574618,380,0.04879968613386154
28,0.011062782257795334,0.02291148528456688,0.8615058,395,0.05058944225311279
