step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.030425047501921654,0.04302829131484032,0.7920287,1,0.00019290123600512743
1,0.03020346909761429,0.04286075010895729,0.7920985,6,0.0004895947058685124
2,0.029890820384025574,0.04261370003223419,0.792343,11,0.0009315828792750835
3,0.029532162472605705,0.0423051156103611,0.79284585,20,0.001503769657574594
4,0.0289478562772274,0.041738592088222504,0.79377294,27,0.002520238282158971
5,0.028366653248667717,0.04122200235724449,0.7947906,39,0.0036374349147081375
6,0.0275739673525095,0.04043636843562126,0.79652977,50,0.005367844365537167
7,0.026779474690556526,0.03962849825620651,0.798491,64,0.00705695291981101
8,0.025932230055332184,0.038843538612127304,0.8005918,79,0.008569121360778809
9,0.02512790821492672,0.03804849088191986,0.80240387,94,0.010209380649030209
10,0.024404985830187798,0.037268463522195816,0.80454814,103,0.012338864617049694
11,0.02356833592057228,0.036447931081056595,0.8066521,126,0.014287839643657207
12,0.022668397054076195,0.0355326347053051,0.8092717,141,0.0172674972563982
13,0.02200927771627903,0.03486378490924835,0.81105113,153,0.019197486340999603
14,0.021403217688202858,0.03417094051837921,0.812366,166,0.0209498293697834
15,0.020771004259586334,0.03354254364967346,0.81461203,181,0.02291286736726761
16,0.020067036151885986,0.032854046672582626,0.81642693,197,0.02509251981973648
17,0.019311971962451935,0.032077375799417496,0.819079,213,0.027776865288615227
18,0.018738988786935806,0.031555380672216415,0.82154095,232,0.029654264450073242
19,0.01817505620419979,0.030973464250564575,0.82400477,239,0.0315546877682209
20,0.017645079642534256,0.03035186231136322,0.8264892,251,0.03332618996500969
21,0.017081264406442642,0.029667701572179794,0.8290708,264,0.03513618931174278
22,0.016539622098207474,0.029053129255771637,0.8324949,278,0.0369141586124897
23,0.015980953350663185,0.028504878282546997,0.83495,292,0.03833206370472908
24,0.015342054888606071,0.027821911498904228,0.8379027,304,0.0400971882045269
25,0.01476199273020029,0.027290796861052513,0.84059805,322,0.04143376275897026
26,0.014069506898522377,0.026587897911667824,0.84466606,335,0.04336056113243103
27,0.013432718813419342,0.025905773043632507,0.84898263,348,0.044857338070869446
28,0.012666314840316772,0.024978449568152428,0.85437864,360,0.0465826690196991
29,0.012012375518679619,0.02412104606628418,0.8594488,375,0.0481819212436676
30,0.011384127661585808,0.023350823670625687,0.8636917,386,0.049701135605573654
31,0.010890062898397446,0.022705454379320145,0.86744475,391,0.05090673640370369
32,0.010252577252686024,0.02200774848461151,0.87180465,406,0.052466582506895065
33,0.009645081125199795,0.021241655573248863,0.87598,413,0.053905535489320755
