step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.11603854596614838,0.1354404091835022,0.6576254,1,0.00019290123600512743
1,0.11533994972705841,0.13490617275238037,0.6578526,7,0.0009017767733894289
2,0.11483405530452728,0.13454608619213104,0.65799975,14,0.0021951054222881794
3,0.1143052726984024,0.13402694463729858,0.65835667,27,0.004746819846332073
4,0.11495061218738556,0.13421925902366638,0.6587516,38,0.008136291988193989
5,0.11670554429292679,0.13487964868545532,0.65919363,47,0.01227235235273838
6,0.11811169236898422,0.13503333926200867,0.65975785,67,0.017142077907919884
7,0.12052329629659653,0.1361730545759201,0.6601469,79,0.022628024220466614
8,0.1230616644024849,0.1366535872220993,0.660452,98,0.027167143300175667
9,0.12573803961277008,0.1375955194234848,0.660912,121,0.03368963301181793
10,0.12792077660560608,0.13793888688087463,0.6615211,143,0.040284086018800735
11,0.13330379128456116,0.1399276703596115,0.6612842,160,0.048181381076574326
12,0.13734999299049377,0.14128315448760986,0.6612681,180,0.055078353732824326
13,0.1386384814977646,0.14199194312095642,0.66071826,197,0.06107272207736969
14,0.13793019950389862,0.1424250602722168,0.6601438,215,0.06820902973413467
15,0.13814860582351685,0.14273306727409363,0.65989935,235,0.07452420890331268
16,0.13484954833984375,0.14152038097381592,0.6593075,259,0.07963014394044876
17,0.13202126324176788,0.1401256024837494,0.6593097,275,0.08367275446653366
18,0.1277172714471817,0.1377393752336502,0.65918475,304,0.08765410631895065
19,0.1250196099281311,0.1359167844057083,0.6585709,329,0.09277867525815964
20,0.12140681594610214,0.1334265023469925,0.65856373,353,0.09657007455825806
21,0.11786915361881256,0.13062268495559692,0.6591155,374,0.10021806508302689
22,0.11414577066898346,0.12772731482982635,0.6601505,392,0.10376088321208954
23,0.11008607596158981,0.12461534887552261,0.66149604,430,0.10715845227241516
24,0.10662663727998734,0.12172859907150269,0.66234493,452,0.11113232374191284
25,0.10295098274946213,0.11870519816875458,0.66364485,475,0.11551350355148315
26,0.09878259897232056,0.11557824909687042,0.66427267,503,0.11874085664749146
27,0.09326672554016113,0.11168409138917923,0.6658461,526,0.1217726394534111
28,0.08904318511486053,0.10830501466989517,0.6680056,549,0.12445782124996185
29,0.08456214517354965,0.10442524403333664,0.67078996,580,0.12799109518527985
30,0.07947542518377304,0.10053689032793045,0.6738417,600,0.13100990653038025
31,0.07501565665006638,0.0969124436378479,0.6772742,620,0.13396093249320984
32,0.07002992928028107,0.09299173206090927,0.68085515,648,0.13675044476985931
33,0.06511660665273666,0.08903902024030685,0.68496025,675,0.13958890736103058
34,0.06067107617855072,0.08521492034196854,0.69058305,693,0.14183078706264496
35,0.055263154208660126,0.08068537712097168,0.6972049,723,0.14436830580234528
36,0.050796397030353546,0.07651833444833755,0.7040986,752,0.14738257229328156
37,0.04640541598200798,0.0723571628332138,0.7114593,769,0.14929606020450592
38,0.04238799959421158,0.06811694800853729,0.7204892,787,0.15169765055179596
39,0.03868052363395691,0.06411359459161758,0.7295598,809,0.15371760725975037
40,0.035108890384435654,0.06004279479384422,0.73872215,831,0.1561669260263443
41,0.03181536868214607,0.056214090436697006,0.74860877,841,0.15851230919361115
42,0.028705937787890434,0.05253683403134346,0.75870216,867,0.1601884812116623
43,0.025823811069130898,0.04910281300544739,0.76980853,886,0.16245339810848236
44,0.022889399901032448,0.04543718323111534,0.78218114,907,0.16490590572357178
45,0.020351773127913475,0.04220164939761162,0.79444563,920,0.1672695279121399
46,0.017868831753730774,0.0389067567884922,0.807933,940,0.1699332594871521
47,0.015541352331638336,0.03559880331158638,0.82204914,950,0.17255914211273193
48,0.013678733259439468,0.032820019870996475,0.8345934,966,0.17460684478282928
49,0.011860363185405731,0.03021707572042942,0.8477273,977,0.17679783701896667
50,0.010135721415281296,0.027692683041095734,0.8609057,994,0.17874160408973694
51,0.008690198883414268,0.02536882273852825,0.87292737,1011,0.1806301474571228
52,0.00725462706759572,0.02302538976073265,0.886068,1028,0.18267282843589783
53,0.006209107115864754,0.02117295190691948,0.8963528,1032,0.18428939580917358
54,0.005264021921902895,0.01945664919912815,0.9061954,1040,0.18561147153377533
55,0.004359387792646885,0.017710447311401367,0.91613233,1046,0.18719182908535004
56,0.0037432019598782063,0.01624615490436554,0.92378885,1053,0.18843525648117065
57,0.003087269375100732,0.014811568893492222,0.93167704,1057,0.18988236784934998
58,0.0025522832293063402,0.013584157451987267,0.93816286,1062,0.1910540759563446
59,0.0021567190997302532,0.01255813054740429,0.9433353,1063,0.19189411401748657
60,0.0017877512145787477,0.011590801179409027,0.9481723,1064,0.19270695745944977
61,0.0014856955967843533,0.01069261971861124,0.9523272,1068,0.19354957342147827
62,0.001256232033483684,0.00994778797030449,0.95572674,1070,0.19421103596687317
63,0.0010586341377347708,0.009257275611162186,0.95886886,1075,0.19484736025333405
64,0.0008425586856901646,0.008562956936657429,0.96200114,1079,0.19545260071754456
65,0.0007421530317515135,0.008096801117062569,0.9639957,1078,0.1958659440279007
66,0.0006247005658224225,0.007595863658934832,0.96630305,1079,0.19627989828586578
67,0.0005572047084569931,0.007254684343934059,0.9679106,1079,0.19662420451641083
68,0.0004978470387868583,0.006956075318157673,0.96908844,1079,0.1969403773546219
69,0.0004508369311224669,0.006692866329103708,0.9701904,1078,0.1972317397594452
70,0.0004196440277155489,0.006487142760306597,0.97106516,1078,0.19739307463169098
71,0.0003963452181778848,0.006346861366182566,0.97170043,1077,0.19749365746974945
72,0.00037968327524140477,0.006215445697307587,0.972301,1077,0.19764836132526398
73,0.00036701883072964847,0.006115799304097891,0.9726519,1077,0.19774022698402405
74,0.0003537557495292276,0.006010198500007391,0.9731214,1075,0.19778580963611603
75,0.000344964413670823,0.005949920509010553,0.9734746,1075,0.19781997799873352
76,0.00033659511245787144,0.005887011531740427,0.9739448,1075,0.19781827926635742
77,0.00032835977617651224,0.005825440399348736,0.9743378,1075,0.19787032902240753
78,0.00032544907298870385,0.005812022369354963,0.9744458,1075,0.19785577058792114
79,0.00032166505116038024,0.005799660924822092,0.97463423,1073,0.19783297181129456
80,0.0003182964283041656,0.005783862434327602,0.9747975,1072,0.1978246420621872
81,0.00031802518060430884,0.005794728174805641,0.9747492,1072,0.19778837263584137
82,0.0003184368833899498,0.005794000346213579,0.9746182,1072,0.1977757066488266
83,0.0003146743692923337,0.005781575106084347,0.9745396,1071,0.19771799445152283
84,0.00030980349401943386,0.00575072318315506,0.97467035,1070,0.19768750667572021
85,0.0003103724156972021,0.005774432327598333,0.9743319,1069,0.1976364254951477
