step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.11603854596614838,0.1354404091835022,0.6576254,1,0.00019290123600512743
1,0.11586688458919525,0.13535603880882263,0.6576365,4,0.0003064711345359683
2,0.11553338170051575,0.1351107358932495,0.6577446,5,0.0006191373104229569
3,0.11517960578203201,0.13483348488807678,0.657894,9,0.0009084807243198156
4,0.11474013328552246,0.13444194197654724,0.658186,14,0.0015699532814323902
5,0.11416223645210266,0.13395841419696808,0.65845746,23,0.0025220573879778385
6,0.1132805347442627,0.1331893354654312,0.6590138,37,0.0035703773610293865
7,0.11270131915807724,0.13268093764781952,0.659408,47,0.004245502408593893
8,0.11154339462518692,0.13164809346199036,0.6601594,59,0.006074678152799606
9,0.11040529608726501,0.1307441145181656,0.6609158,75,0.007559370249509811
10,0.10950559377670288,0.12962506711483002,0.6615238,90,0.009578869678080082
11,0.10867395251989365,0.12865421175956726,0.66195357,104,0.012033958919346333
12,0.10822271555662155,0.1278468519449234,0.6614741,120,0.014631160534918308
13,0.10710913687944412,0.12675873935222626,0.66135186,136,0.0179522093385458
14,0.1064937487244606,0.1259681135416031,0.6611425,161,0.020341597497463226
15,0.10598939657211304,0.12549948692321777,0.6596551,177,0.023397032171487808
16,0.1053946241736412,0.12463760375976562,0.65818393,201,0.026879770681262016
17,0.10385876893997192,0.12326700985431671,0.657345,229,0.032030411064624786
18,0.10384275019168854,0.12275389581918716,0.65646684,248,0.03499749302864075
19,0.10328291356563568,0.1219443678855896,0.6557337,263,0.03880607709288597
20,0.10303478688001633,0.12107877433300018,0.6538108,291,0.04276286065578461
21,0.10218758881092072,0.11965560913085938,0.65351146,313,0.046990472823381424
22,0.10136088728904724,0.11764418333768845,0.65401024,340,0.05036354809999466
23,0.09948278218507767,0.1155647486448288,0.6545297,364,0.05443653091788292
24,0.09869975596666336,0.11412486433982849,0.65485775,385,0.057573284953832626
25,0.09811247885227203,0.11268443614244461,0.6554277,404,0.06053032726049423
26,0.0968453586101532,0.11081817001104355,0.65583026,427,0.06480041891336441
27,0.0942537859082222,0.10846641659736633,0.6572438,451,0.06929393112659454
28,0.09220628440380096,0.10636668652296066,0.65890664,475,0.07324337959289551
29,0.0893188863992691,0.10379408299922943,0.6620563,504,0.07690674811601639
30,0.08504490554332733,0.10119200497865677,0.6642709,523,0.08173204213380814
31,0.08234535902738571,0.09850332140922546,0.6669698,547,0.08596686273813248
32,0.07949712872505188,0.09655199199914932,0.6690189,567,0.08984644711017609
33,0.07687744498252869,0.0942876935005188,0.6721277,579,0.09351792186498642
34,0.07256147265434265,0.09157538414001465,0.6757715,600,0.09795806556940079
35,0.06881125271320343,0.08850575983524323,0.6805568,631,0.1024564579129219
36,0.06559847295284271,0.08565171808004379,0.68541193,647,0.10634560883045197
37,0.062462594360113144,0.08312905579805374,0.6894524,665,0.11076653003692627
38,0.058568064123392105,0.07990612089633942,0.6946085,691,0.11512133479118347
39,0.054969821125268936,0.07700635492801666,0.6996306,713,0.1190611869096756
40,0.051451317965984344,0.07378360629081726,0.7052362,733,0.12271909415721893
41,0.047504790127277374,0.07040538638830185,0.7113586,770,0.12722551822662354
42,0.04400181025266647,0.06708308309316635,0.71824443,782,0.13129544258117676
43,0.041291866451501846,0.06442634016275406,0.7244241,807,0.13451875746250153
44,0.03829024359583855,0.06132025644183159,0.73203796,827,0.13820196688175201
45,0.03492298349738121,0.05833524465560913,0.7407341,846,0.14200133085250854
46,0.03179255872964859,0.0554833747446537,0.7481136,859,0.14564205706119537
47,0.02896455116569996,0.0525522455573082,0.757038,882,0.14877189695835114
48,0.026315288618206978,0.04963163658976555,0.7663296,902,0.1520177125930786
49,0.024019423872232437,0.04713122174143791,0.7747948,916,0.15465164184570312
50,0.021817687898874283,0.04487849399447441,0.7830779,928,0.15740492939949036
51,0.01967458985745907,0.04256563261151314,0.7917032,951,0.16026759147644043
52,0.01772470772266388,0.040302541106939316,0.8009916,962,0.16291528940200806
53,0.015831131488084793,0.03786823898553848,0.81138855,975,0.16588804125785828
54,0.01439433079212904,0.03578862547874451,0.8203832,987,0.1681184470653534
55,0.012950632721185684,0.03376728668808937,0.8299519,1004,0.1703285127878189
56,0.011680549941956997,0.03195473551750183,0.8393917,1015,0.17223994433879852
57,0.010552315972745419,0.0302986279129982,0.84752494,1027,0.1740616261959076
58,0.009557073935866356,0.028701959177851677,0.85572195,1040,0.17601272463798523
59,0.00862580444663763,0.0272205900400877,0.86263204,1045,0.1775122731924057
60,0.007769514806568623,0.025773661211133003,0.86985755,1054,0.17894767224788666
61,0.006981780286878347,0.024321241304278374,0.8773985,1058,0.18038757145404816
62,0.006386838387697935,0.023198360577225685,0.88349414,1063,0.18156513571739197
63,0.00583246536552906,0.02218390628695488,0.8891092,1070,0.1827593445777893
64,0.005293384660035372,0.021124335005879402,0.8949098,1075,0.18384915590286255
65,0.004783369600772858,0.02009388618171215,0.900642,1076,0.18493618071079254
66,0.004447525832802057,0.019313465803861618,0.9041205,1081,0.18572686612606049
67,0.004167291335761547,0.01874738745391369,0.9068054,1085,0.18651583790779114
68,0.0038607981987297535,0.018073052167892456,0.9098478,1086,0.1872652769088745
69,0.0036228939425200224,0.017491424456238747,0.9124545,1087,0.187980517745018
70,0.00335148093290627,0.01683816872537136,0.91537964,1091,0.18880921602249146
71,0.003145532915368676,0.016291283071041107,0.91811585,1092,0.18948444724082947
72,0.0029770624823868275,0.015882236883044243,0.92034656,1093,0.18993373215198517
73,0.0028101822827011347,0.015461158938705921,0.9227477,1098,0.1904715597629547
74,0.0026508120354264975,0.015070633962750435,0.9260153,1099,0.19089487195014954
75,0.0025328961201012135,0.014764700084924698,0.92790645,1099,0.19123943150043488
76,0.002427460625767708,0.014389610849320889,0.930263,1101,0.1915615350008011
77,0.0023532016202807426,0.014069628901779652,0.9320659,1105,0.19179360568523407
78,0.0022648656740784645,0.013806117698550224,0.93405986,1102,0.19203442335128784
