step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.02593591809272766,0.04643649235367775,0.68665737,1,0.00019290123600512743
1,0.025882268324494362,0.046338941901922226,0.6868311,4,0.0006461463635787368
2,0.025847947224974632,0.04620756953954697,0.6870942,11,0.0013660279801115394
3,0.025720125064253807,0.046083591878414154,0.6874722,15,0.002114269882440567
4,0.02591141127049923,0.045989252626895905,0.6881356,22,0.0035127459559589624
5,0.026017071679234505,0.0458938404917717,0.6891999,27,0.004750371910631657
6,0.026031875982880592,0.0459306575357914,0.6898977,34,0.006160412449389696
7,0.02673398330807686,0.04639202728867531,0.6900167,43,0.008274568244814873
8,0.026977427303791046,0.04655453562736511,0.69087493,52,0.01038287952542305
9,0.02732711285352707,0.04676932469010353,0.6909874,63,0.012851285748183727
10,0.02752656675875187,0.0470418743789196,0.69134486,68,0.014156550168991089
11,0.02752614952623844,0.047164853662252426,0.69238704,77,0.01559913158416748
12,0.02772931382060051,0.04738418385386467,0.6925823,87,0.016581468284130096
13,0.027358749881386757,0.04705672338604927,0.6936163,95,0.016675380989909172
14,0.02810301072895527,0.047401461750268936,0.6954817,109,0.019550861790776253
15,0.027885442599654198,0.04714281111955643,0.69717777,125,0.021779166534543037
16,0.02709077298641205,0.04639238864183426,0.70101357,138,0.022639041766524315
17,0.026651544496417046,0.04595436155796051,0.70545197,160,0.025403566658496857
18,0.02575499378144741,0.044912781566381454,0.7119959,182,0.0283401720225811
19,0.025379693135619164,0.04412800446152687,0.71749926,197,0.030947620049118996
20,0.02437526173889637,0.04321512579917908,0.7243961,221,0.03394778445363045
21,0.023566480726003647,0.04286535456776619,0.729223,237,0.036479320377111435
22,0.022909894585609436,0.042348284274339676,0.7331043,250,0.038700029253959656
23,0.022536182776093483,0.04203639179468155,0.7381241,262,0.0417357012629509
24,0.02173355035483837,0.041322436183691025,0.7438713,278,0.0446082167327404
25,0.021463653072714806,0.04104233905673027,0.74649227,282,0.04641442373394966
26,0.021321503445506096,0.04111320525407791,0.7476828,293,0.048155173659324646
27,0.020892173051834106,0.0408601313829422,0.74951154,301,0.04935818538069725
28,0.020399387925863266,0.04050061106681824,0.751674,311,0.05070514604449272
29,0.02016136422753334,0.040375716984272,0.7520586,320,0.05161793529987335
30,0.019695794209837914,0.04014451429247856,0.75404567,332,0.052515123039484024
31,0.01925988309085369,0.0398145355284214,0.7554632,339,0.05320918560028076
32,0.018794003874063492,0.03938622772693634,0.7568253,343,0.05289091914892197
33,0.01834687776863575,0.038751907646656036,0.7586547,351,0.05261754244565964
34,0.017966890707612038,0.03812231495976448,0.76058996,354,0.05304810404777527
35,0.017504792660474777,0.03749879449605942,0.76268375,366,0.052900366485118866
36,0.016977934166789055,0.03665509447455406,0.7655986,373,0.053256917744874954
37,0.01646312326192856,0.0359487310051918,0.7685916,383,0.05323587730526924
38,0.016000134870409966,0.035278648138046265,0.7711717,392,0.05360441282391548
39,0.015448484569787979,0.034438569098711014,0.7747947,401,0.05410777032375336
40,0.014874123968183994,0.033542659133672714,0.7790556,408,0.054512541741132736
41,0.014233177527785301,0.03254542872309685,0.78419137,421,0.05517906695604324
42,0.013562493957579136,0.03147146478295326,0.78946227,431,0.05563604086637497
43,0.012707368470728397,0.030217565596103668,0.7975291,445,0.05695997551083565
44,0.011996491812169552,0.029079442843794823,0.80496776,462,0.057909682393074036
45,0.011121923103928566,0.0277399979531765,0.81433916,472,0.05880654975771904
46,0.010392557829618454,0.02651108056306839,0.8227664,487,0.05946768820285797
47,0.00964723713696003,0.02536264806985855,0.83208144,506,0.06058289855718613
48,0.008863652125000954,0.023944102227687836,0.8422174,522,0.061583153903484344
49,0.008048501797020435,0.022556504234671593,0.8538782,542,0.06297491490840912
50,0.007172435987740755,0.021117310971021652,0.8660762,556,0.06447551399469376
51,0.006289610173553228,0.01963331364095211,0.87920195,562,0.06602688133716583
52,0.005482455249875784,0.018226688727736473,0.8925716,580,0.06757975369691849
53,0.004657117649912834,0.01677098125219345,0.90731704,587,0.06966188549995422
54,0.0038539303932338953,0.015304986387491226,0.9219744,592,0.07172894477844238
55,0.003129346063360572,0.013789097778499126,0.9358766,595,0.0738692432641983
56,0.0025862976908683777,0.012510704807937145,0.94649464,605,0.07572292536497116
57,0.002023866167291999,0.011211470700800419,0.9569012,616,0.07737044990062714
58,0.0016448701499029994,0.010144789703190327,0.9637083,614,0.07879123091697693
59,0.0013107372215017676,0.009123723953962326,0.9698802,610,0.07983411103487015
60,0.00110210245475173,0.008355654776096344,0.97431046,611,0.08073510974645615
61,0.0009030630462802947,0.007602822035551071,0.97811866,604,0.08132119476795197
62,0.000767742283642292,0.0070290276780724525,0.98112285,607,0.08179176598787308
63,0.0006196952308528125,0.006451411172747612,0.98406714,611,0.08248420804738998
64,0.0004781845200341195,0.005888515617698431,0.9869349,609,0.0829949602484703
65,0.00039672397542744875,0.005451836157590151,0.9888948,609,0.0833510085940361
66,0.0003258446231484413,0.005018675699830055,0.9905088,608,0.08373814821243286
67,0.0002577530103735626,0.004603647626936436,0.99244666,607,0.08393246680498123
68,0.0002340289211133495,0.004442742560058832,0.9930897,609,0.0839046761393547
69,0.00021094935073051602,0.004286191426217556,0.99368775,611,0.08397392928600311
70,0.00019162501848768443,0.004124311730265617,0.99409544,608,0.08404189348220825
71,0.00017576158279553056,0.0039489539340138435,0.9953776,604,0.08396643400192261
72,0.000155595043906942,0.003822987899184227,0.995842,601,0.08408139646053314
73,0.00014157372061163187,0.0037013476248830557,0.99605846,603,0.08407269418239594
74,0.00013383093755692244,0.0036098198033869267,0.9961357,603,0.08404362946748734
75,0.00012834789231419563,0.0035656727850437164,0.99640685,596,0.08401881158351898
76,0.00012197428441140801,0.003516772296279669,0.99664885,596,0.0840347558259964
77,0.00011766239913413301,0.003466666443273425,0.9967224,596,0.08402276784181595
78,0.00011362084478605539,0.0033968978095799685,0.9968841,596,0.0840202197432518
79,0.00011528973118402064,0.003413498867303133,0.997053,595,0.08395490795373917
80,0.00011606165207922459,0.0034247448202222586,0.9971514,596,0.08399815857410431
81,0.00011669992818497121,0.003425497328862548,0.9971523,595,0.08401615172624588
82,0.0001171407857327722,0.0034139708150178194,0.99714094,596,0.08395034819841385
83,0.00011500506661832333,0.0033795288763940334,0.99716216,596,0.08401177078485489
84,0.0001134375634137541,0.003389080986380577,0.99695206,598,0.08406861871480942
85,0.00011121765419375151,0.003346413839608431,0.9969547,600,0.08409406989812851
86,0.00010954265599139035,0.00332308909855783,0.99705094,601,0.08409017324447632
87,0.00010810508683789521,0.003294670255854726,0.99741125,603,0.08405768871307373
88,0.00010853652929654345,0.0033021620474755764,0.99738777,603,0.08402317017316818
89,0.00010902830399572849,0.0033307780977338552,0.997357,602,0.08402721583843231
90,0.0001095358602469787,0.0033408435992896557,0.9973171,604,0.08399193733930588
91,0.00011100857955170795,0.003360518254339695,0.99717975,602,0.08397229760885239
92,0.00011368910782039165,0.0034023229964077473,0.9969747,603,0.08398730307817459
93,0.00011695666034938768,0.0034382056910544634,0.9967403,604,0.08400736004114151
94,0.00011943368008360267,0.0034651292953640223,0.997207,602,0.08395944535732269
95,0.00012127088120905682,0.003484755754470825,0.99718845,602,0.08394183963537216
96,0.0001262128062080592,0.0035242000594735146,0.99697435,603,0.08391197770833969
97,0.00012969427916686982,0.0035600268747657537,0.9965962,603,0.08394303172826767
98,0.00013331053196452558,0.0036120275035500526,0.9963951,603,0.08396339416503906
99,0.00013847638911101967,0.003678658977150917,0.99587107,603,0.08402407914400101
100,0.00014331666170619428,0.0037441286258399487,0.9956483,603,0.08400892466306686
101,0.0001506034896010533,0.0038207080215215683,0.9955361,604,0.08404982835054398
102,0.00015638917102478445,0.003878799034282565,0.9951035,604,0.08403998613357544
103,0.00016341320588253438,0.003954155370593071,0.99498165,604,0.08403652906417847
104,0.00017204965115524828,0.004028709605336189,0.9948308,605,0.08401092141866684
105,0.000179427326656878,0.004095625597983599,0.995083,605,0.08398711681365967
106,0.0001876554306363687,0.004186803475022316,0.994767,604,0.08401201665401459
107,0.0001992985635297373,0.004284059628844261,0.99433386,606,0.08403611183166504
108,0.00021026001195423305,0.004372368101030588,0.9938165,607,0.08402705192565918
109,0.00022110687859822065,0.004440973978489637,0.99337333,607,0.08406354486942291
110,0.00023407120897900313,0.004543734714388847,0.99286294,607,0.08407357335090637
111,0.00024808652233332396,0.004645215813070536,0.9921199,609,0.08409139513969421
112,0.00025969280977733433,0.0047294944524765015,0.9916115,609,0.08413434773683548
113,0.00027578618028201163,0.004877004306763411,0.9903035,609,0.08414792269468307
114,0.00028936253511346877,0.004952165298163891,0.9911076,610,0.08410535007715225
115,0.00030507243354804814,0.00506213866174221,0.9900075,613,0.08415833860635757
116,0.0003216133627574891,0.005178965628147125,0.9885577,618,0.08423478156328201
