step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.02593591809272766,0.04643649235367775,0.68665737,1,0.00019290123600512743
1,0.02582274004817009,0.04632972180843353,0.6867745,5,0.00035397193278186023
2,0.025669777765870094,0.046145226806402206,0.6871736,8,0.0006316889193840325
3,0.02556695230305195,0.046014826744794846,0.6874474,12,0.0008835304761305451
4,0.025431739166378975,0.04582813009619713,0.6880852,19,0.0012826987076550722
5,0.02531488426029682,0.045748233795166016,0.68875253,24,0.0016820577438920736
6,0.025121571496129036,0.04554394632577896,0.6895753,32,0.0024631028063595295
7,0.02515363320708275,0.045656073838472366,0.68941426,40,0.0032699271105229855
8,0.024998143315315247,0.04556026682257652,0.69052017,50,0.004432742949575186
9,0.02507278323173523,0.04578055441379547,0.6899753,70,0.006239025853574276
10,0.02534625306725502,0.04609399288892746,0.69028294,80,0.006888174917548895
11,0.025589890778064728,0.046385955065488815,0.6903938,90,0.008148732595145702
12,0.02602601982653141,0.046921659260988235,0.689593,98,0.00896400772035122
13,0.026029059663414955,0.046889565885066986,0.6900295,111,0.009604399092495441
14,0.02615652233362198,0.04694252088665962,0.6920281,129,0.01089101005345583
15,0.026336602866649628,0.04702174663543701,0.69341224,150,0.013062815181910992
16,0.026193588972091675,0.04658035561442375,0.69722277,159,0.013824544847011566
17,0.025904743000864983,0.0461457259953022,0.7017832,169,0.015348793938755989
18,0.02551407925784588,0.04555198922753334,0.7066215,190,0.016544954851269722
19,0.02508021891117096,0.04502023756504059,0.7116693,204,0.01815481297671795
20,0.02473112940788269,0.04459906741976738,0.71533227,226,0.019727488979697227
21,0.024622831493616104,0.044705018401145935,0.71710527,247,0.02133222296833992
22,0.02475685253739357,0.04489799961447716,0.7167161,264,0.02264443226158619
23,0.02490711212158203,0.04541352763772011,0.7162614,278,0.024312254041433334
24,0.02458847686648369,0.0455942377448082,0.7169999,296,0.026709510013461113
25,0.024295857176184654,0.045759208500385284,0.7158294,314,0.02857581526041031
26,0.024106496945023537,0.04604973644018173,0.7151381,332,0.030601613223552704
27,0.023958977311849594,0.046340446919202805,0.7138258,353,0.03252170607447624
28,0.023495784029364586,0.04645128548145294,0.71310115,371,0.03439909592270851
29,0.023310566321015358,0.04685655236244202,0.711149,389,0.03600156307220459
30,0.023042190819978714,0.04702780395746231,0.7111031,407,0.03772924095392227
31,0.02275167778134346,0.04705721139907837,0.71168053,428,0.03974076732993126
32,0.022411685436964035,0.046660248190164566,0.7126312,443,0.04190550744533539
33,0.021696729585528374,0.04583875089883804,0.71435106,450,0.043564654886722565
34,0.020960763096809387,0.04500359669327736,0.71740115,461,0.044590339064598083
35,0.020151233300566673,0.04409947991371155,0.72035635,482,0.04571763426065445
36,0.019381290301680565,0.04291994124650955,0.72545695,502,0.047228552401065826
37,0.018676403909921646,0.041845615953207016,0.7309631,515,0.04903802275657654
38,0.017977649345993996,0.04089733213186264,0.7376722,520,0.05070091784000397
39,0.017278509214520454,0.039920561015605927,0.7449441,543,0.05265149846673012
40,0.016312208026647568,0.03850499168038368,0.7546738,556,0.05444229394197464
41,0.015526966191828251,0.037362005561590195,0.7635589,575,0.05632486939430237
42,0.014656979590654373,0.03608652204275131,0.7737349,587,0.058094337582588196
43,0.01374816708266735,0.03467463329434395,0.7847104,601,0.05966122820973396
44,0.012854061089456081,0.03333181142807007,0.7967967,611,0.06134054809808731
45,0.011999482288956642,0.03203178197145462,0.80883086,633,0.0628589317202568
46,0.011228342540562153,0.030922306701540947,0.82004726,642,0.06419035792350769
47,0.01045437715947628,0.029749013483524323,0.83123827,641,0.06569377332925797
48,0.00976912584155798,0.028696151450276375,0.8416046,649,0.06665215641260147
49,0.009023752063512802,0.02749003656208515,0.85277516,661,0.06801073998212814
50,0.008328555151820183,0.026273829862475395,0.86298203,666,0.06926670670509338
51,0.007685489021241665,0.025172272697091103,0.87226176,672,0.07061767578125
52,0.007037775125354528,0.02401108294725418,0.8821261,680,0.0717514306306839
53,0.006312770769000053,0.022661417722702026,0.89318496,677,0.07280412316322327
54,0.00566759193316102,0.02139822021126747,0.903209,673,0.07406865805387497
55,0.005134015344083309,0.02040126360952854,0.91216105,679,0.0750226080417633
56,0.004664053209125996,0.01945783756673336,0.92026556,677,0.07588937133550644
