step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.02593591809272766,0.04643649235367775,0.68665737,1,0.00019290123600512743
1,0.02580476924777031,0.04631105437874794,0.6867885,6,0.00043403045856393874
2,0.025664571672677994,0.046188320964574814,0.6870331,9,0.0008179342257790267
3,0.02542031928896904,0.04588603228330612,0.68766004,19,0.0015146809164434671
4,0.025185387581586838,0.04562217742204666,0.6887574,30,0.0024946441408246756
5,0.024983365088701248,0.045406024903059006,0.689316,40,0.0034196258056908846
6,0.02481233887374401,0.045360248535871506,0.68995166,55,0.004785040859133005
7,0.024607444182038307,0.045281782746315,0.6904485,74,0.006353319622576237
8,0.024469729512929916,0.0451728031039238,0.69067264,83,0.0075578587129712105
9,0.024387693032622337,0.045240309089422226,0.6905215,98,0.008868664503097534
10,0.024204149842262268,0.045061931014060974,0.691382,110,0.009969236329197884
11,0.02400120161473751,0.0449393056333065,0.692208,122,0.011498523876070976
12,0.02377791702747345,0.044754426926374435,0.69329065,137,0.01291240006685257
13,0.0233775544911623,0.04433104023337364,0.6958065,150,0.014399219304323196
14,0.022898681461811066,0.04384467750787735,0.6994384,168,0.01617838442325592
15,0.022348156198859215,0.04322768747806549,0.7037331,192,0.018124030902981758
16,0.02181246317923069,0.04256071150302887,0.7081607,207,0.0200868658721447
17,0.02138025313615799,0.04203983023762703,0.71135575,227,0.021870076656341553
18,0.02087499387562275,0.041544053703546524,0.7160469,248,0.023696908727288246
19,0.020607151091098785,0.04150254651904106,0.7177032,271,0.025371449068188667
20,0.020332887768745422,0.04132009670138359,0.7195531,291,0.0270924624055624
21,0.02014469914138317,0.04140708968043327,0.72042197,314,0.028803318738937378
22,0.020033834502100945,0.04161103442311287,0.7202968,340,0.029960479587316513
23,0.01994084194302559,0.04178990423679352,0.7203001,358,0.031634047627449036
24,0.01989130675792694,0.04196764528751373,0.7198628,372,0.032986946403980255
25,0.019763516262173653,0.04196581616997719,0.7199267,388,0.034469787031412125
26,0.01948876865208149,0.041812773793935776,0.721063,409,0.03556814417243004
27,0.019307401031255722,0.04180335998535156,0.7210266,432,0.036903876811265945
28,0.01926596835255623,0.04202507808804512,0.7197431,449,0.03829708695411682
29,0.018980033695697784,0.04183037206530571,0.72088426,474,0.03955819457769394
30,0.01874135248363018,0.0416765958070755,0.721547,497,0.04082499071955681
31,0.018415018916130066,0.0413052961230278,0.723674,513,0.04209422320127487
32,0.018137875944375992,0.04111609607934952,0.72490907,532,0.04366705194115639
33,0.017815133556723595,0.04084458947181702,0.7263596,557,0.04497092589735985
34,0.01741616241633892,0.040321823209524155,0.7296478,570,0.046400945633649826
35,0.017033712938427925,0.039707429707050323,0.73266363,586,0.047772686928510666
36,0.0165341068059206,0.039014123380184174,0.73761624,599,0.049133025109767914
37,0.01596023328602314,0.03821089118719101,0.7437517,611,0.05079471319913864
