step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.0837629958987236,0.10144894570112228,0.71622634,1,0.00019290123600512743
1,0.08325951546430588,0.1010603979229927,0.7164897,5,0.0006061943131498992
2,0.08235092461109161,0.10026484727859497,0.71684265,14,0.0015628021210432053
3,0.08105611056089401,0.09908676147460938,0.71722007,27,0.0031138488557189703
4,0.079696424305439,0.09790632128715515,0.7175963,43,0.004881819244474173
5,0.07816913723945618,0.09642049670219421,0.71815443,57,0.007250629831105471
6,0.0767572671175003,0.09502917528152466,0.71864355,71,0.009994813241064548
7,0.07528580725193024,0.09370008856058121,0.7191007,83,0.012396270409226418
8,0.07325151562690735,0.09186568856239319,0.7196939,108,0.015588727779686451
9,0.07118076086044312,0.08993258327245712,0.72052157,128,0.019069697707891464
10,0.06890047341585159,0.08791214972734451,0.7210103,157,0.02330171689391136
11,0.06709884852170944,0.08640427142381668,0.7217488,177,0.0269075408577919
12,0.0648193359375,0.08430754393339157,0.7226324,198,0.031229648739099503
13,0.06254604458808899,0.08224115520715714,0.7235473,217,0.035482943058013916
14,0.06042398139834404,0.08031594008207321,0.724704,235,0.03940228000283241
15,0.058337584137916565,0.07838006317615509,0.72589564,257,0.04310228303074837
16,0.05607201159000397,0.07609371095895767,0.7277707,279,0.04718366265296936
17,0.05341853201389313,0.07367808371782303,0.7296772,302,0.05180411785840988
18,0.05118950456380844,0.07142215967178345,0.7317096,321,0.05575760453939438
19,0.04908593371510506,0.06929227709770203,0.733726,340,0.05936404690146446
20,0.04710491746664047,0.0672023817896843,0.73626363,359,0.06285864114761353
21,0.04489633068442345,0.06490125507116318,0.7389196,378,0.06625667959451675
22,0.042710769921541214,0.06261306256055832,0.74216646,393,0.06987795233726501
23,0.04032793268561363,0.060216356068849564,0.74577796,421,0.07370244711637497
24,0.037732046097517014,0.05765453353524208,0.7499207,442,0.07775592058897018
25,0.03532756492495537,0.05511254444718361,0.75426406,469,0.0817052572965622
26,0.03307759016752243,0.05281220003962517,0.75844574,492,0.08498430997133255
27,0.03106633573770523,0.050639357417821884,0.76323366,507,0.08793538808822632
28,0.02896658517420292,0.0483841598033905,0.7682974,526,0.09131898730993271
29,0.027053816244006157,0.04613552987575531,0.77364373,540,0.09408508241176605
30,0.024967826902866364,0.043912336230278015,0.7796419,563,0.09703975170850754
31,0.023118004202842712,0.04174752160906792,0.7854256,583,0.09967323392629623
32,0.021199846640229225,0.039529893547296524,0.79165936,599,0.10248709470033646
33,0.019482476636767387,0.03752525895833969,0.79808724,613,0.10507816821336746
34,0.017745189368724823,0.03543516620993614,0.80535555,635,0.10774501413106918
35,0.016170844435691833,0.03352050483226776,0.81279236,651,0.11005432158708572
36,0.014772098511457443,0.03173627704381943,0.82004654,662,0.11223581433296204
37,0.01339796558022499,0.02983079105615616,0.828057,674,0.11457903683185577
38,0.012149843387305737,0.02822714112699032,0.83558315,688,0.11656970530748367
39,0.011049367487430573,0.02671676129102707,0.8433267,698,0.11853361874818802
40,0.009922760538756847,0.025167018175125122,0.85169756,713,0.12059611827135086
41,0.009003552608191967,0.02377614937722683,0.8595276,725,0.12231597304344177
42,0.008080066181719303,0.022389205172657967,0.86801606,733,0.12402600049972534
43,0.007314659189432859,0.021178975701332092,0.87519187,738,0.12555387616157532
44,0.0066190194338560104,0.019989680498838425,0.88266885,744,0.1268732100725174
45,0.005797173362225294,0.018651049584150314,0.8917053,749,0.12849034368991852
46,0.005175519734621048,0.01753205992281437,0.8991192,757,0.12979824841022491
47,0.0044769407249987125,0.01631719060242176,0.90805584,768,0.1313052773475647
48,0.003953971434384584,0.015346113592386246,0.91510004,770,0.13238242268562317
49,0.0035315791610628366,0.014421863481402397,0.92185175,779,0.13353592157363892
50,0.0031572848092764616,0.013597076758742332,0.92751026,786,0.134546160697937
