step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.0837629958987236,0.10144894570112228,0.71622634,1,0.00019290123600512743
1,0.08326781541109085,0.10107963532209396,0.7164579,6,0.0005768101545982063
2,0.08258767426013947,0.1005370020866394,0.71700364,12,0.0011762488866224885
3,0.08168409764766693,0.09973820298910141,0.71738183,21,0.002258818130940199
4,0.08064433932304382,0.09880315512418747,0.7178037,31,0.0037239580415189266
5,0.07987348735332489,0.09815268963575363,0.7180713,38,0.004871321842074394
6,0.0789388045668602,0.09728988260030746,0.71851784,51,0.007016665302217007
7,0.07842926681041718,0.09673195332288742,0.7187417,61,0.009219463914632797
8,0.07792966067790985,0.09627748280763626,0.71880156,71,0.012327572330832481
9,0.07705870270729065,0.0954199805855751,0.71912885,90,0.01655886508524418
10,0.07589251548051834,0.09415681660175323,0.7197059,106,0.020856840535998344
11,0.07531137764453888,0.09332528710365295,0.71984076,128,0.024322303012013435
12,0.07408610731363297,0.0922122523188591,0.71985304,149,0.028320834040641785
13,0.07251769304275513,0.09063570201396942,0.71995544,167,0.0323927141726017
14,0.07132511585950851,0.08964287489652634,0.72016454,188,0.03643004223704338
15,0.06990130990743637,0.08846191316843033,0.7204344,207,0.04233257472515106
16,0.06807446479797363,0.08691954612731934,0.72118837,232,0.04708092287182808
17,0.06556876003742218,0.08469846844673157,0.7222399,252,0.05094838887453079
18,0.06278926134109497,0.08223097771406174,0.72322446,278,0.05550653487443924
19,0.06012728810310364,0.0797065943479538,0.7244916,304,0.05956147611141205
20,0.05708145722746849,0.07696595788002014,0.72553515,329,0.06352956593036652
21,0.053360167890787125,0.07382461428642273,0.7279395,356,0.06746836751699448
22,0.05035180225968361,0.07098569720983505,0.7308465,384,0.0714571475982666
23,0.047440264374017715,0.06846486777067184,0.7329678,408,0.07474374026060104
24,0.04444299638271332,0.06579992175102234,0.7360183,436,0.07863198965787888
25,0.041558653116226196,0.06332945823669434,0.73965347,465,0.08171479403972626
26,0.038623563945293427,0.06045788154006004,0.7437795,487,0.08493658900260925
27,0.03623957559466362,0.0580395944416523,0.74707586,513,0.087979257106781
28,0.03390812501311302,0.05567053705453873,0.75067586,533,0.09093914180994034
29,0.03161316737532616,0.05339687317609787,0.7547134,559,0.09362044185400009
30,0.02935696206986904,0.051127515733242035,0.75926447,581,0.09653172641992569
31,0.02713283710181713,0.04862673953175545,0.76456904,601,0.099720798432827
32,0.025104021653532982,0.04644888639450073,0.76995885,609,0.10230813175439835
33,0.02323015034198761,0.04428626969456673,0.7760675,628,0.10478172451257706
34,0.02155119553208351,0.042231637984514236,0.7818973,637,0.10703529417514801
35,0.019850892946124077,0.040229421108961105,0.7887178,660,0.10899101197719574
36,0.01815233938395977,0.03830394148826599,0.7956145,674,0.11151096969842911
37,0.01674906350672245,0.03647886589169502,0.80175334,684,0.11339984834194183
38,0.015471103601157665,0.034822504967451096,0.80835927,695,0.1154325008392334
39,0.014163823798298836,0.03294037654995918,0.81621224,702,0.11723334342241287
40,0.013032189570367336,0.03143896162509918,0.82265544,719,0.11891867965459824
41,0.011970318853855133,0.02993968315422535,0.8296867,726,0.12057549506425858
42,0.010852090083062649,0.028291990980505943,0.8378604,734,0.12239070981740952
43,0.00994039885699749,0.02687080390751362,0.845084,740,0.12375324219465256
44,0.008919239044189453,0.02533402293920517,0.8531856,751,0.12525905668735504
45,0.008115646429359913,0.02401634491980076,0.86039203,755,0.12664896249771118
46,0.007478357758373022,0.022937865927815437,0.86654437,760,0.12761950492858887
