step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.0837629958987236,0.10144894570112228,0.71622634,1,0.00019290123600512743
1,0.08362016826868057,0.10136348009109497,0.7162976,4,0.00034512326237745583
2,0.08327224850654602,0.10112663358449936,0.7164171,9,0.0006952854455448687
3,0.08273440599441528,0.10073193162679672,0.7166269,13,0.0012369033647701144
4,0.08216149359941483,0.10031314194202423,0.716903,22,0.001886802725493908
5,0.08137430995702744,0.09968439489603043,0.71716684,30,0.0027297299820929766
6,0.08050017058849335,0.09895186126232147,0.7174196,43,0.0038125808350741863
7,0.0792207419872284,0.09790210425853729,0.7178368,57,0.0052884602919220924
8,0.07811396569013596,0.09692300111055374,0.71829295,67,0.006555820815265179
9,0.076687753200531,0.09564527124166489,0.7186629,82,0.008592589758336544
10,0.07508447766304016,0.09417062252759933,0.7190542,98,0.011343308724462986
11,0.07347093522548676,0.0927797257900238,0.7192948,115,0.014378722757101059
12,0.07193806022405624,0.09140848368406296,0.71939826,134,0.017403630539774895
13,0.0700046643614769,0.08965622633695602,0.71948797,156,0.0212335754185915
14,0.06846530735492706,0.08825917541980743,0.7201636,176,0.024510707706212997
15,0.0661722794175148,0.08629313856363297,0.7208645,198,0.029442021623253822
16,0.06425922363996506,0.08438635617494583,0.7216079,219,0.03329363837838173
17,0.06255291402339935,0.08275210112333298,0.7225111,242,0.037029415369033813
18,0.06011487916111946,0.08060875535011292,0.72382784,269,0.041236381977796555
19,0.0577344074845314,0.07875186204910278,0.7250507,286,0.04479289799928665
20,0.05539282038807869,0.07659952342510223,0.7269134,311,0.04894912242889404
21,0.05350217595696449,0.07477062940597534,0.7284707,331,0.052685827016830444
22,0.05149869620800018,0.07297816872596741,0.73011893,353,0.05618497356772423
23,0.04920719936490059,0.0707843229174614,0.7325961,373,0.06031937152147293
24,0.04720587655901909,0.06902102380990982,0.7345258,397,0.06389768421649933
25,0.04493991658091545,0.06687066704034805,0.7375097,418,0.06754858791828156
26,0.04304513707756996,0.06503478437662125,0.7397317,438,0.07112100720405579
