step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.05090280994772911,0.06807595491409302,0.7005345,1,0.00019290123600512743
1,0.050719086080789566,0.06797147542238235,0.7006967,6,0.0004821796901524067
2,0.050503313541412354,0.06780633330345154,0.70111537,12,0.0008682047482579947
3,0.05024817958474159,0.06766188889741898,0.7012826,20,0.0015912347007542849
4,0.05018622800707817,0.06758929044008255,0.7013893,26,0.0021306583657860756
5,0.05010121688246727,0.06753575801849365,0.7015827,34,0.0029433388262987137
6,0.04983164370059967,0.06736409664154053,0.70178145,46,0.003954736515879631
7,0.049652162939310074,0.06715324521064758,0.70214224,59,0.005376226268708706
8,0.04960097745060921,0.06691688299179077,0.70247626,67,0.005973402410745621
9,0.049901485443115234,0.06697949022054672,0.7026008,76,0.007350228261202574
10,0.04965801164507866,0.06681317090988159,0.7028265,89,0.009718301706016064
11,0.049794163554906845,0.06658738106489182,0.7030871,100,0.011741957627236843
12,0.04977532476186752,0.06616663932800293,0.70334685,119,0.014182882383465767
13,0.05008835345506668,0.06605012714862823,0.7035768,134,0.016434552147984505
14,0.05010944604873657,0.06582721322774887,0.70377874,152,0.018982186913490295
15,0.04978637397289276,0.06542054563760757,0.70386946,177,0.021499531343579292
16,0.050006408244371414,0.06527144461870193,0.70395195,196,0.02469570003449917
17,0.049631595611572266,0.06491714715957642,0.704148,213,0.027793649584054947
18,0.04886726662516594,0.06427115201950073,0.7042922,239,0.030329227447509766
19,0.04805130511522293,0.06374716758728027,0.7046906,261,0.033359404653310776
20,0.04664790257811546,0.06269821524620056,0.70527107,280,0.03671353682875633
21,0.045149099081754684,0.06160875782370567,0.70628977,303,0.03945894166827202
22,0.04359685629606247,0.06059857830405235,0.7069213,323,0.04283253848552704
23,0.04143638536334038,0.05919575318694115,0.70793426,350,0.04703168943524361
24,0.03948012366890907,0.05791744589805603,0.70856535,367,0.049874790012836456
25,0.03727619722485542,0.05613062530755997,0.709444,394,0.053517576307058334
26,0.03498142585158348,0.05440486967563629,0.7111124,411,0.05695676803588867
27,0.03269335627555847,0.05248270556330681,0.71318185,433,0.06066630780696869
28,0.030544057488441467,0.05061707645654678,0.7156297,457,0.06479446589946747
29,0.028122978284955025,0.04859299957752228,0.71953213,488,0.06935376673936844
30,0.026238765567541122,0.04694518446922302,0.7222066,508,0.07267395406961441
31,0.024376781657338142,0.04531961306929588,0.7254822,532,0.07634562999010086
32,0.022568080574274063,0.04360601678490639,0.72910607,552,0.07988257706165314
33,0.02070951834321022,0.04172377288341522,0.73422,571,0.08361232280731201
34,0.019024919718503952,0.03997248038649559,0.7390381,592,0.08709060400724411
35,0.017816979438066483,0.03855472058057785,0.7434269,608,0.08973778039216995
36,0.01651068590581417,0.03701910004019737,0.74952674,632,0.09277987480163574
37,0.0153675377368927,0.03563374653458595,0.7550666,642,0.09552470594644547
38,0.014192766509950161,0.03427320346236229,0.7610495,659,0.09811164438724518
39,0.013223300687968731,0.033020053058862686,0.76723623,686,0.10045608133077621
40,0.01239551417529583,0.03185384348034859,0.77263445,692,0.10268590599298477
41,0.011503268033266068,0.03050149790942669,0.7791036,711,0.10496438294649124
42,0.01073412410914898,0.02944212406873703,0.7853996,720,0.10721387714147568
43,0.009911123663187027,0.028175698593258858,0.7923058,730,0.10958929359912872
44,0.009171850048005581,0.027121491730213165,0.7986014,749,0.11146294325590134
45,0.008632277138531208,0.026281356811523438,0.8041671,762,0.11341655254364014
46,0.00809450913220644,0.025500601157546043,0.8103628,771,0.11508192867040634
47,0.007592948153614998,0.024655571207404137,0.8159705,776,0.1165836974978447
48,0.007119831629097462,0.023865338414907455,0.82161516,784,0.11791078746318817
49,0.006698144134134054,0.023105470463633537,0.827186,791,0.11928105354309082
50,0.006313462276011705,0.022331228479743004,0.83253413,797,0.1202947348356247
51,0.005932929459959269,0.021562347188591957,0.8392765,802,0.12130936235189438
52,0.005610861349850893,0.02098676562309265,0.8450526,805,0.12222129106521606
53,0.005277091171592474,0.020321691408753395,0.8510674,813,0.1231113150715828
54,0.004978518467396498,0.01968272775411606,0.85690427,820,0.12402552366256714
55,0.0047515565529465675,0.019201204180717468,0.8618391,821,0.12476211041212082
56,0.004493760876357555,0.018613776192069054,0.8670187,820,0.12548774480819702
57,0.004251759499311447,0.018106572329998016,0.87175405,821,0.12615138292312622
58,0.00402068579569459,0.01755307987332344,0.8769176,823,0.12677240371704102
59,0.003818754106760025,0.017092233523726463,0.8814581,824,0.1273372769355774
60,0.0036015149671584368,0.016631655395030975,0.88686943,826,0.12791012227535248
61,0.0033909862395375967,0.01616556942462921,0.89222306,831,0.12858127057552338
62,0.0031999913044273853,0.01565033756196499,0.89723897,833,0.12912793457508087
63,0.0030217955354601145,0.015222768299281597,0.90181386,839,0.12943445146083832
64,0.0028484794311225414,0.01475498080253601,0.90633476,842,0.12985260784626007
65,0.002710711443796754,0.014384721405804157,0.91061664,836,0.1302695870399475
66,0.00259190471842885,0.01405121386051178,0.9137816,833,0.13047826290130615
67,0.0024832645431160927,0.013742431998252869,0.9174091,833,0.1306343674659729
68,0.002368401503190398,0.013381672091782093,0.9205566,830,0.13095617294311523
69,0.0022573687601834536,0.013038132339715958,0.92419493,829,0.1311165690422058
70,0.002140142722055316,0.01268371194601059,0.9276527,830,0.13143940269947052
71,0.002055155346170068,0.012425621040165424,0.92971116,834,0.1316349059343338
72,0.0019816358108073473,0.012201380915939808,0.9316039,835,0.13175547122955322
73,0.0018974457634612918,0.01196113508194685,0.93379116,833,0.13190191984176636
74,0.0018268488347530365,0.011758185923099518,0.93604743,835,0.1320527195930481
