step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.030425047501921654,0.04302829131484032,0.7920287,1,0.00019290123600512743
1,0.02999069355428219,0.04259635508060455,0.7925299,6,0.0008619953878223896
2,0.029528247192502022,0.04221220687031746,0.7931455,15,0.0015596894081681967
3,0.028857219964265823,0.04159180074930191,0.79437065,26,0.0027622031047940254
4,0.028396135196089745,0.04113933816552162,0.795111,29,0.0036895687226206064
5,0.027782926335930824,0.040557291358709335,0.7962005,39,0.004907106980681419
6,0.02701706998050213,0.039904676377773285,0.79752046,51,0.006461779121309519
7,0.026115184649825096,0.03903882950544357,0.79951465,72,0.008981450460851192
8,0.02546263113617897,0.038346100598573685,0.8012085,81,0.010391619056463242
9,0.02474532276391983,0.03765607252717018,0.8030365,95,0.012407013215124607
10,0.023930231109261513,0.03685646876692772,0.8055103,111,0.014654968865215778
11,0.023144371807575226,0.036079153418540955,0.80799896,120,0.01693909801542759
12,0.022432006895542145,0.03529440239071846,0.8102888,131,0.01886214129626751
13,0.021702030673623085,0.034480635076761246,0.812593,146,0.02093692123889923
14,0.021104605868458748,0.033752359449863434,0.8147024,155,0.02280016802251339
15,0.02043302357196808,0.03298008441925049,0.8167534,165,0.024585993960499763
16,0.0199569221585989,0.032625503838062286,0.81822777,180,0.026044845581054688
17,0.01949702575802803,0.03218342363834381,0.8204738,190,0.028114642947912216
18,0.019047163426876068,0.031635116785764694,0.82261974,199,0.02966761216521263
19,0.01841416396200657,0.030847594141960144,0.82540536,212,0.03152293711900711
20,0.017737977206707,0.029984358698129654,0.82853,221,0.033347152173519135
21,0.017237428575754166,0.0293013546615839,0.8309633,228,0.03487197682261467
22,0.016609802842140198,0.02861669287085533,0.8342589,241,0.03678855672478676
23,0.016256926581263542,0.028205495327711105,0.8367001,250,0.038629692047834396
24,0.015700623393058777,0.027552342042326927,0.83985573,257,0.0401022844016552
25,0.015227035619318485,0.027061624452471733,0.8424979,273,0.042326219379901886
26,0.01458224281668663,0.026322253048419952,0.8463757,280,0.04468737542629242
27,0.014150051400065422,0.025943344458937645,0.8486854,298,0.04656924307346344
28,0.013536968268454075,0.025338131934404373,0.85217595,309,0.048746347427368164
29,0.01292788702994585,0.024774134159088135,0.8552451,332,0.05068213865160942
30,0.012285685166716576,0.023997992277145386,0.85908777,346,0.052290305495262146
31,0.011798227205872536,0.02342926152050495,0.8620472,355,0.05406205356121063
32,0.011222854256629944,0.022657591849565506,0.8659887,362,0.05555092915892601
33,0.01061663031578064,0.021822158247232437,0.870072,376,0.05667213723063469
34,0.010127504356205463,0.021167663857340813,0.8738121,384,0.058302585035562515
35,0.009732241742312908,0.02059337869286537,0.876853,395,0.05939937010407448
36,0.009052656590938568,0.01956549473106861,0.8819355,409,0.060932088643312454
37,0.008558841422200203,0.018794581294059753,0.88605714,422,0.0621710866689682
38,0.008170862682163715,0.0181509330868721,0.88914615,424,0.0631740614771843
39,0.00762946717441082,0.017283936962485313,0.8941575,430,0.06469744443893433
40,0.007120632100850344,0.016527602449059486,0.89838874,438,0.06584228575229645
41,0.006573342252522707,0.01577044278383255,0.90340143,445,0.06701724231243134
42,0.006069067865610123,0.015034645795822144,0.90804803,448,0.06807155162096024
43,0.005545003805309534,0.014208119362592697,0.9130309,455,0.0693674236536026
44,0.0049832225777208805,0.013342926278710365,0.9187458,465,0.07026451826095581
45,0.004419588018208742,0.012520819902420044,0.9247893,474,0.0712071880698204
46,0.003892892273142934,0.011735674925148487,0.93083847,488,0.07218712568283081
47,0.003470559138804674,0.011003491468727589,0.9368426,494,0.07321761548519135
48,0.0030635620933026075,0.010258162394165993,0.9422652,496,0.07413680851459503
49,0.0027597113512456417,0.009707381017506123,0.9468822,500,0.07479521632194519
50,0.002416153671219945,0.009101927280426025,0.95182645,505,0.07557595521211624
51,0.0020313020795583725,0.008511584252119064,0.95743096,510,0.07645650207996368
52,0.0017473878106102347,0.00786532461643219,0.9624876,512,0.07739217579364777
53,0.0015344469575211406,0.007408768869936466,0.9660228,517,0.07793334126472473
54,0.0013436484150588512,0.007032549008727074,0.9689384,520,0.07857963442802429
55,0.0011556751560419798,0.006641434971243143,0.9717346,524,0.07907602190971375
56,0.001052036532200873,0.006402863189578056,0.973592,524,0.07937592267990112
57,0.0008931599440984428,0.006002150475978851,0.9764868,524,0.07979054003953934
58,0.0007737147388979793,0.0056515466421842575,0.9786177,528,0.08014912903308868
59,0.0006863499293103814,0.0053977882489562035,0.9802136,526,0.08021313697099686
60,0.0005574040696956217,0.0050321705639362335,0.9825023,528,0.08060730993747711
61,0.0004770407103933394,0.004732015077024698,0.98421603,526,0.08089625835418701
62,0.00041613055509515107,0.004510323982685804,0.9853345,525,0.0810353085398674
63,0.0003530327812768519,0.004241074901074171,0.986776,527,0.08123090863227844
64,0.0002994817332364619,0.003990857861936092,0.98793346,527,0.08141086995601654
65,0.0002670270041562617,0.003812087932601571,0.9883927,527,0.08152017742395401
66,0.0002405917039141059,0.003629658604040742,0.98881197,528,0.08164273202419281
67,0.00021667240071110427,0.0034880107268691063,0.98930013,528,0.08183161169290543
68,0.0001958394714165479,0.0033467889297753572,0.99001586,527,0.08194436877965927
69,0.00018064479809254408,0.003248452441766858,0.990155,526,0.08193904161453247
70,0.00016711339412722737,0.00315907783806324,0.9903661,526,0.08210234344005585
71,0.000153329674503766,0.0030604898929595947,0.9906367,527,0.08224207907915115
72,0.0001433241122867912,0.002989222528412938,0.9908406,526,0.08225739747285843
73,0.0001358312147203833,0.0029333396814763546,0.9908949,528,0.0823059231042862
74,0.0001263207959709689,0.002852163277566433,0.9913174,528,0.08237018436193466
75,0.00011953905777772889,0.002796522341668606,0.9914867,526,0.0824311301112175
76,0.00011484953574836254,0.002744229044765234,0.9915898,524,0.08242734521627426
77,0.00010917002509813756,0.0027137394063174725,0.99172795,525,0.08243279159069061
78,0.00010370220843469724,0.002657871460542083,0.9918737,524,0.08242587000131607
79,9.957324073184282e-05,0.0026264633052051067,0.9918685,522,0.08241167664527893
80,9.648248669691384e-05,0.0025984051171690226,0.99197745,522,0.08240386843681335
81,9.259541548090056e-05,0.0025754920206964016,0.9920501,521,0.08236978203058243
82,9.003806189866737e-05,0.0025403436738997698,0.99205124,521,0.08238161355257034
83,8.721664926270023e-05,0.0025226289872080088,0.99199206,521,0.08235279470682144
84,8.48890413180925e-05,0.0025143625680357218,0.99197364,522,0.08233298361301422
85,8.41254077386111e-05,0.002504252828657627,0.9919402,521,0.08232028037309647
86,8.307163079734892e-05,0.0024949044454842806,0.99192214,519,0.08232169598340988
87,8.337628241861239e-05,0.002494957996532321,0.99182117,520,0.08231578767299652
88,8.37073166621849e-05,0.0025003133341670036,0.99170524,519,0.08226531744003296
89,8.415483898716047e-05,0.0025048451498150826,0.9916221,519,0.08222661167383194
90,8.461844845442101e-05,0.002511648926883936,0.9915114,519,0.08221496641635895
91,8.49760472192429e-05,0.0025191528256982565,0.9914803,518,0.08219104260206223
