step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.030425047501921654,0.04302829131484032,0.7920287,1,0.00019290123600512743
1,0.03012201562523842,0.042740169912576675,0.79238534,6,0.0006739956443198025
2,0.029915470629930496,0.04254952445626259,0.7927247,10,0.0009404504671692848
3,0.02969694696366787,0.042358264327049255,0.7930284,17,0.0013916530879214406
4,0.02932145819067955,0.04205644503235817,0.7934854,23,0.0020927912555634975
5,0.028915317729115486,0.0416661836206913,0.7944748,30,0.0028474614955484867
6,0.028689222410321236,0.0414431169629097,0.7952209,36,0.003572615096345544
7,0.028406167402863503,0.04096722975373268,0.7963461,44,0.0044913822785019875
8,0.027907636016607285,0.04044923558831215,0.7977211,54,0.005938878748565912
9,0.02740342915058136,0.039871081709861755,0.7990436,66,0.007664989680051804
10,0.02685757912695408,0.039360664784908295,0.80031884,79,0.0089703518897295
11,0.026332108303904533,0.03879528120160103,0.801702,92,0.011026738211512566
12,0.026104172691702843,0.03857116773724556,0.80240905,102,0.012372962199151516
13,0.025767967104911804,0.03822708502411842,0.8033504,110,0.013660364784300327
14,0.025105025619268417,0.03756120055913925,0.80576646,128,0.016693709418177605
15,0.02440299279987812,0.036992061883211136,0.80790424,140,0.018870681524276733
16,0.023798778653144836,0.036458875983953476,0.80952257,153,0.020699517801404
17,0.023195533081889153,0.035870254039764404,0.8108574,168,0.022438203915953636
18,0.02250811457633972,0.035132020711898804,0.81264293,184,0.024369336664676666
19,0.02198183909058571,0.03453739359974861,0.8142718,191,0.025903960689902306
20,0.02136063016951084,0.03394654393196106,0.8164421,203,0.027523024007678032
21,0.020787714049220085,0.03340604156255722,0.8180998,227,0.029675977304577827
22,0.020374642685055733,0.03303862735629082,0.81944627,233,0.031156839802861214
23,0.019778398796916008,0.03244812786579132,0.82157433,248,0.03321433812379837
24,0.01913318783044815,0.03168585151433945,0.8243451,257,0.03458310291171074
25,0.018194610252976418,0.030805472284555435,0.82781374,273,0.036707159131765366
26,0.017289388924837112,0.02991338074207306,0.83164954,285,0.0385274812579155
27,0.01645701192319393,0.028979569673538208,0.83524704,299,0.04037217050790787
28,0.01595240831375122,0.028412824496626854,0.83811206,305,0.04198630526661873
29,0.015122740529477596,0.027553629130125046,0.84259146,319,0.0437004491686821
30,0.01449547242373228,0.026803316548466682,0.845667,329,0.04506663233041763
31,0.013867144472897053,0.026130735874176025,0.84903306,344,0.04659610986709595
32,0.013054167851805687,0.02514616958796978,0.8539076,355,0.04832139611244202
33,0.01228829100728035,0.024250557646155357,0.85882974,370,0.04992227628827095
34,0.011512583121657372,0.0233216043561697,0.86386883,383,0.05161217227578163
35,0.010856767185032368,0.02252425067126751,0.8681525,396,0.05319924280047417
36,0.01028514001518488,0.021752269938588142,0.87179476,399,0.05446920171380043
37,0.009645036421716213,0.020920444279909134,0.87623346,410,0.05587936192750931
38,0.009104464203119278,0.02021733857691288,0.8799225,415,0.05722585693001747
39,0.008471664041280746,0.019376594573259354,0.88387287,423,0.05868107080459595
40,0.007903220131993294,0.018538935109972954,0.8884748,428,0.05976419150829315
41,0.0074135176837444305,0.017811212688684464,0.89240664,429,0.06077691167593002
42,0.0069526080042123795,0.01712004654109478,0.8962171,438,0.061889708042144775
43,0.006490729283541441,0.016463013365864754,0.89974236,444,0.06308795511722565
44,0.006005622446537018,0.015731647610664368,0.9044502,454,0.0642571747303009
45,0.005616785492748022,0.015094194561243057,0.9085759,464,0.06532780081033707
46,0.005244178231805563,0.014463194645941257,0.9124012,466,0.06626671552658081
47,0.004817749839276075,0.013771651312708855,0.9169296,469,0.0675034150481224
48,0.004442742094397545,0.01312266755849123,0.9218262,476,0.06848937273025513
49,0.004111651796847582,0.01257700938731432,0.9262027,483,0.06934739649295807
50,0.0037671790923923254,0.011979923583567142,0.9305438,487,0.07029933482408524
51,0.0034983232617378235,0.011514759622514248,0.9348626,495,0.07109718769788742
52,0.003206324763596058,0.010997714474797249,0.938674,501,0.0720607116818428
53,0.0029368004761636257,0.01048977393656969,0.9427668,508,0.07288409024477005
54,0.0026807815302163363,0.00998209323734045,0.946247,512,0.07355738431215286
55,0.002456157235428691,0.009548255242407322,0.9497241,515,0.07422363013029099
56,0.0022495281882584095,0.0091693801805377,0.9539758,517,0.07489261776208878
57,0.0020340527407824993,0.008800848387181759,0.9574638,517,0.07561231404542923
58,0.001868784660473466,0.0084207309409976,0.96088314,518,0.07616816461086273
59,0.0017014688346534967,0.008015608415007591,0.9636768,517,0.07663619518280029
60,0.0015603703213855624,0.007718873675912619,0.96622086,518,0.07714555412530899
61,0.0014432294992730021,0.007415731903165579,0.9685232,518,0.07750526815652847
62,0.0013080182252451777,0.007096652407199144,0.9710521,520,0.07781273871660233
63,0.0012156915618106723,0.006849539000540972,0.972812,524,0.0781049057841301
64,0.00110698863863945,0.00656336173415184,0.97449875,520,0.07838134467601776
65,0.0010215970687568188,0.006242067087441683,0.9762963,518,0.07866468280553818
66,0.000957994197960943,0.00604602787643671,0.9773245,518,0.07886990159749985
67,0.0008781090728007257,0.0057858978398144245,0.9788116,519,0.07915103435516357
68,0.0008182575111277401,0.005608473904430866,0.9798182,521,0.07938831299543381
69,0.0007376617286354303,0.005322371143847704,0.9815829,521,0.07955128699541092
70,0.0006791204796172678,0.0051188901998102665,0.9825936,522,0.07978960871696472
71,0.0006238702917471528,0.004949430003762245,0.9835621,521,0.08000140637159348
72,0.0005629519000649452,0.004755964037030935,0.98455644,520,0.0802377387881279
73,0.0005213143886066973,0.004580159205943346,0.9854272,519,0.0803787037730217
74,0.00046921527246013284,0.004385799635201693,0.9863505,517,0.08051840215921402
75,0.00043812463991343975,0.004270488396286964,0.9868934,518,0.08059769868850708
76,0.0004132256144657731,0.004157212097197771,0.98763543,520,0.08066487312316895
77,0.00037416085251607,0.0039860340766608715,0.9883547,521,0.08086110651493073
78,0.0003414793754927814,0.00384027068503201,0.98917705,521,0.08104167133569717
79,0.00031838080030865967,0.0037420366425067186,0.9897834,523,0.08116761595010757
80,0.00029221895965747535,0.003624244127422571,0.990361,524,0.08131946623325348
81,0.00027387813315726817,0.0035205085296183825,0.99077004,524,0.08137084543704987
82,0.00025344634195789695,0.0034230020828545094,0.99125385,525,0.08143431693315506
83,0.00023506696743424982,0.0033153921831399202,0.9917169,521,0.08148609846830368
84,0.00021890860807616264,0.0032303030602633953,0.9921162,520,0.08156895637512207
85,0.00020300166215747595,0.0031351454090327024,0.9925465,519,0.08167106658220291
86,0.00018954106781166047,0.0030551559757441282,0.99288183,520,0.08171918988227844
87,0.00017347368702758104,0.0029615764506161213,0.9933126,520,0.08176326751708984
88,0.00016039256297517568,0.0028786822222173214,0.9936759,519,0.08184392005205154
89,0.00015251462173182517,0.0028253826312720776,0.99394125,520,0.0819198340177536
90,0.00013980235962662846,0.0027500588912516832,0.99420935,521,0.08198174089193344
91,0.00013212834892328829,0.0027003951836377382,0.9944192,521,0.08199212700128555
92,0.00012611439160536975,0.002653658390045166,0.99461627,521,0.08199793845415115
93,0.00011615678522503003,0.0025923869106918573,0.9948714,519,0.0820610523223877
94,0.00010912235302384943,0.002539926441386342,0.99496347,519,0.08213555067777634
95,0.000102504767710343,0.0024809089954942465,0.9951925,520,0.08215409517288208
96,9.903939644573256e-05,0.0024438779801130295,0.99530995,519,0.08213789761066437
97,9.412278450326994e-05,0.0024005831219255924,0.9954113,520,0.08215487748384476
98,8.888661250239238e-05,0.0023579311091452837,0.9955928,519,0.08217024058103561
99,8.436253847321495e-05,0.0023263453040271997,0.99571836,521,0.08218538016080856
100,8.210052328649908e-05,0.0022927019745111465,0.99577403,521,0.08218386024236679
101,8.002686809049919e-05,0.002275892999023199,0.99554324,521,0.08221660554409027
102,7.602193363709375e-05,0.002235819585621357,0.9959141,520,0.0822240561246872
103,7.285703759407625e-05,0.002208890626206994,0.9959959,521,0.08221839368343353
104,6.901421147631481e-05,0.00216245511546731,0.9961404,519,0.08217160403728485
105,6.707145075779408e-05,0.002131838584318757,0.9962135,518,0.08214287459850311
106,6.469341315096244e-05,0.0021048029884696007,0.9962628,519,0.08210884779691696
107,6.342062260955572e-05,0.0020774081349372864,0.99634904,519,0.08211628347635269
108,6.149875116534531e-05,0.002051191171631217,0.9963792,519,0.08208747208118439
109,5.928363316343166e-05,0.0020166002213954926,0.9964564,519,0.08208189904689789
110,5.704312206944451e-05,0.00199447781778872,0.9965201,518,0.082095205783844
111,5.583632810157724e-05,0.0019809920340776443,0.9964966,517,0.08210217207670212
112,5.376019180403091e-05,0.0019559739157557487,0.9965057,517,0.0821056216955185
113,5.161842636880465e-05,0.0019236276857554913,0.9965777,518,0.08209960907697678
114,5.054077701061033e-05,0.0019150159787386656,0.99662364,518,0.08211895078420639
115,4.905577952740714e-05,0.0018973633414134383,0.99667084,517,0.08212926983833313
116,4.750038351630792e-05,0.0018783215200528502,0.9967379,517,0.08214568346738815
117,4.638780956156552e-05,0.0018612981075420976,0.9967899,517,0.0821409597992897
118,4.557731153909117e-05,0.0018480163998901844,0.99682456,517,0.08215539157390594
119,4.453493602341041e-05,0.00183000392280519,0.9968783,517,0.08216308057308197
120,4.319847721490078e-05,0.0018072993261739612,0.99693525,517,0.08216356486082077
121,4.198301394353621e-05,0.0017893895274028182,0.996985,517,0.08216486871242523
122,4.0988648834172636e-05,0.0017733466811478138,0.99702966,516,0.08216416090726852
123,4.010286647826433e-05,0.001760042505338788,0.99705625,516,0.08217985928058624
124,3.949241363443434e-05,0.001747141475789249,0.9970823,515,0.08217579871416092
125,3.879531868733466e-05,0.0017349212430417538,0.9971538,515,0.08219771832227707
126,3.778289828915149e-05,0.0017173594096675515,0.99719745,515,0.08221659064292908
127,3.665533222374506e-05,0.0016931003192439675,0.9972423,515,0.08221210539340973
128,3.562809433788061e-05,0.0016727081965655088,0.9972894,515,0.08221646398305893
129,3.474837649264373e-05,0.0016551988665014505,0.99735034,517,0.08223198354244232
130,3.426590410526842e-05,0.0016463729552924633,0.9973486,517,0.08224162459373474
131,3.3815558708738536e-05,0.001635317807085812,0.9973459,517,0.0822397768497467
132,3.338358146720566e-05,0.0016209726454690099,0.99734557,517,0.08224038034677505
133,3.26113477058243e-05,0.0016017223242670298,0.9973887,517,0.08224441111087799
134,3.2077055948320776e-05,0.0015883817104622722,0.99739915,517,0.08225893974304199
135,3.138287866022438e-05,0.0015681474469602108,0.997431,517,0.08227472007274628
136,3.080602618865669e-05,0.0015532319666817784,0.9974463,518,0.08228839188814163
137,3.0180819521774538e-05,0.001539190299808979,0.99746525,518,0.0822937935590744
138,2.9369559342740104e-05,0.001517515629529953,0.9975041,517,0.08229754865169525
139,2.8874201234430075e-05,0.0015049201902002096,0.99753577,517,0.08229611068964005
140,2.8341626602923498e-05,0.0014966707676649094,0.9975483,517,0.08229929208755493
141,2.7495663744048215e-05,0.0014787493273615837,0.9975891,517,0.0822838768362999
142,2.6986017473973334e-05,0.0014616935513913631,0.9976276,516,0.08228842169046402
143,2.6113482817891054e-05,0.0014423532411456108,0.99764615,516,0.08228519558906555
144,2.5303796064690687e-05,0.0014262142358347774,0.9976714,516,0.08228226006031036
145,2.46992440224858e-05,0.0014133030781522393,0.9976885,517,0.08228638768196106
146,2.5346984330099076e-05,0.0014125594170764089,0.99735117,517,0.08229945600032806
147,2.3863447495386936e-05,0.001392053789459169,0.99764746,517,0.08228899538516998
148,2.3576460080221295e-05,0.0013831616379320621,0.99766916,517,0.08228784054517746
149,2.2709620679961517e-05,0.0013625797582790256,0.9977604,516,0.08226507902145386
150,2.2165650079841726e-05,0.001348573248833418,0.9977815,516,0.08226194232702255
151,2.1900357751292177e-05,0.0013395563000813127,0.9977843,517,0.08224830776453018
152,2.1491887309821323e-05,0.0013290783390402794,0.9977942,517,0.08224236220121384
153,2.2347079720930196e-05,0.0013371361419558525,0.997471,517,0.08224219083786011
154,2.1885371097596362e-05,0.001322842901572585,0.9975114,517,0.0822385773062706
155,2.1506391931325197e-05,0.0013145151315256953,0.99753493,517,0.08223222196102142
156,2.0212271920172498e-05,0.0013011827832087874,0.9977502,517,0.08223598450422287
157,1.9608938600867987e-05,0.0012860775459557772,0.9978334,516,0.08221974223852158
158,1.9181446987204254e-05,0.0012704548425972462,0.99782765,515,0.08222202211618423
159,1.896620415209327e-05,0.001263888319954276,0.9978086,515,0.0822126716375351
160,1.862171666289214e-05,0.0012558267917484045,0.99782085,515,0.08222521841526031
161,1.8264581740368158e-05,0.001246807398274541,0.9978347,515,0.08222793787717819
162,1.790843998605851e-05,0.0012367457384243608,0.9978473,515,0.08224138617515564
163,1.765648448781576e-05,0.0012288775760680437,0.9978484,515,0.08226148784160614
164,1.7483856936451048e-05,0.0012245478574186563,0.99785143,516,0.08226824551820755
165,1.727544076857157e-05,0.0012194685405120254,0.9978548,516,0.08227064460515976
166,1.7074611605494283e-05,0.0012133914278820157,0.99785924,516,0.08227784931659698
167,1.693302510830108e-05,0.0012096129357814789,0.9978705,517,0.08228474855422974
168,1.6801537640276365e-05,0.0012044981122016907,0.9978793,516,0.0822942927479744
169,1.6631811377010308e-05,0.001198968500830233,0.99788946,516,0.08229610323905945
170,1.6546744518564083e-05,0.0011952829081565142,0.997895,515,0.08229383081197739
171,1.6413358025602065e-05,0.0011909245513379574,0.9979037,515,0.08229254186153412
172,1.6222786143771373e-05,0.001184601802378893,0.9979017,515,0.08229180425405502
173,1.606204386916943e-05,0.001177600002847612,0.99790984,515,0.08229811489582062
174,1.5909436115180142e-05,0.0011721377959474921,0.99790394,516,0.08229617774486542
175,1.5798561435076408e-05,0.0011709352256730199,0.99789524,516,0.08230365067720413
176,1.5696363334427588e-05,0.0011672365944832563,0.99790937,516,0.08230124413967133
177,1.5610681657562964e-05,0.0011670913081616163,0.99790156,516,0.08229770511388779
178,1.5593770513078198e-05,0.001165796653367579,0.9978949,516,0.08229241520166397
179,1.545775739941746e-05,0.0011608607601374388,0.9979086,517,0.08229422569274902
180,1.53857545228675e-05,0.0011587557382881641,0.99790657,517,0.0822959616780281
