step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.030425047501921654,0.04302829131484032,0.7920287,1,0.00019290123600512743
1,0.03019937127828598,0.04283895716071129,0.7921644,4,0.0004421527264639735
2,0.02988443337380886,0.04257270321249962,0.79250824,10,0.0008250743267126381
3,0.029470890760421753,0.04219960421323776,0.79320925,16,0.0014062854461371899
4,0.02888760156929493,0.04165101796388626,0.7945634,25,0.0022475249134004116
5,0.028373662382364273,0.04115457832813263,0.79577684,35,0.003111765021458268
6,0.027691157534718513,0.040524352341890335,0.7973428,48,0.004184030462056398
7,0.026798546314239502,0.039764393121004105,0.7995482,64,0.005653491709381342
8,0.02589099109172821,0.038881994783878326,0.80186176,78,0.007341855671256781
9,0.025154845789074898,0.038167618215084076,0.8037838,90,0.00859648548066616
10,0.024422472342848778,0.037462268024683,0.80556005,99,0.009995310567319393
11,0.02372884750366211,0.03681601956486702,0.8071772,115,0.011542942374944687
12,0.02296953648328781,0.0360911525785923,0.80893165,129,0.013154868967831135
13,0.021951992064714432,0.0350240133702755,0.81227165,150,0.01525268703699112
14,0.021107614040374756,0.034173548221588135,0.8150892,163,0.017350411042571068
15,0.020379167050123215,0.033464353531599045,0.8169679,180,0.01939154788851738
16,0.01977691613137722,0.032868891954422,0.8185653,193,0.021428441628813744
17,0.01925346627831459,0.032296232879161835,0.8202462,205,0.02319655381143093
18,0.018581749871373177,0.03165094181895256,0.8225181,221,0.02529369667172432
19,0.01796487718820572,0.03095770813524723,0.8250177,236,0.02727554179728031
20,0.017398977652192116,0.03028075210750103,0.8275074,245,0.029433149844408035
21,0.01698932610452175,0.029738375917077065,0.8292376,258,0.031171422451734543
22,0.016454769298434258,0.029199331998825073,0.83125323,272,0.033077143132686615
23,0.0159283597022295,0.028646942228078842,0.8332776,283,0.0351194329559803
24,0.015303317457437515,0.027995919808745384,0.8361361,299,0.03723880276083946
25,0.014785761944949627,0.027468832209706306,0.8381204,314,0.03916173055768013
26,0.014286561869084835,0.02702564001083374,0.8398913,330,0.04117302969098091
27,0.013844070956110954,0.026481669396162033,0.8422233,338,0.0428210012614727
28,0.013315124437212944,0.02584502473473549,0.8444025,353,0.0444805771112442
29,0.012715095654129982,0.025126587599515915,0.8481683,367,0.04638638347387314
30,0.012147716246545315,0.02450716681778431,0.85180783,381,0.04822344332933426
31,0.011542045511305332,0.02379687689244747,0.856141,392,0.05008349567651749
32,0.010987043380737305,0.02318616583943367,0.8599715,400,0.05163947492837906
33,0.010510114952921867,0.02252194844186306,0.8637759,409,0.053145162761211395
34,0.009972433559596539,0.021805372089147568,0.86765826,422,0.05482800304889679
35,0.009469889104366302,0.02115688845515251,0.87165254,431,0.05642399936914444
36,0.008983664214611053,0.020509619265794754,0.87573725,443,0.05795000120997429
37,0.008532004430890083,0.019921617582440376,0.879623,452,0.0595107302069664
38,0.008026051335036755,0.01920609176158905,0.8848268,463,0.0610492080450058
39,0.0075759063474833965,0.01853237673640251,0.8890882,480,0.06227094307541847
40,0.0070515223778784275,0.017787588760256767,0.8941039,489,0.06386129558086395
41,0.006536609027534723,0.017089251428842545,0.8988139,496,0.06520039588212967
42,0.006119173020124435,0.016527308151125908,0.90254164,502,0.06651906669139862
43,0.005725054070353508,0.01600121706724167,0.90636486,506,0.06789911538362503
44,0.005318830255419016,0.015415544621646404,0.9099277,514,0.06919921189546585
45,0.004948008339852095,0.014840934425592422,0.9141096,520,0.07033145427703857
46,0.004610325675457716,0.014270439743995667,0.9185273,526,0.07138662785291672
47,0.00435153441503644,0.013773948885500431,0.9216626,525,0.0722469761967659
48,0.004089617636054754,0.013293113559484482,0.9252516,526,0.07312064617872238
49,0.0038478958886116743,0.012878626585006714,0.9284153,529,0.0740693062543869
50,0.0036029259208589792,0.01240026205778122,0.9314158,529,0.074764184653759
51,0.0033612491097301245,0.011993776075541973,0.93458074,533,0.07554811239242554
52,0.003166673704981804,0.011620130389928818,0.9372252,539,0.07609844207763672
53,0.002963160863146186,0.011224323883652687,0.9403438,539,0.07667266577482224
54,0.0027685388922691345,0.010812344960868359,0.9433173,540,0.07739129662513733
55,0.0026008766144514084,0.010473514907062054,0.945504,541,0.07790881395339966
56,0.0024483874440193176,0.010101060383021832,0.9476217,539,0.0783129557967186
57,0.0022959334310144186,0.009737731888890266,0.95022607,536,0.07872506976127625
58,0.002064464846625924,0.009280669502913952,0.95338976,535,0.07919766008853912
59,0.0018615886801853776,0.008903350681066513,0.9565537,536,0.07961378246545792
60,0.0017085002036765218,0.008523762226104736,0.95905375,534,0.07991009950637817
61,0.0015607496025040746,0.008159495890140533,0.96179366,534,0.08007609099149704
62,0.0014015642227604985,0.0077806334011256695,0.9647796,536,0.08026664704084396
63,0.0012428758200258017,0.007407588884234428,0.9678889,539,0.0805203914642334
64,0.00112809962593019,0.0070644766092300415,0.97021174,535,0.08071443438529968
65,0.0010152094764634967,0.006789823994040489,0.97242093,538,0.08096743375062943
66,0.0009173305588774383,0.006512366700917482,0.9742204,538,0.08122119307518005
67,0.0008288853568956256,0.006282579619437456,0.97549444,540,0.08129945397377014
68,0.0007584440754726529,0.006079311948269606,0.9764471,541,0.08142659068107605
69,0.0006874135578982532,0.00585090322420001,0.97777736,542,0.08155199885368347
70,0.0006333673372864723,0.005645456723868847,0.97864056,541,0.0816240981221199
71,0.0005870398599654436,0.005477382801473141,0.9791788,542,0.08174722641706467
72,0.0005433064652606845,0.0053228638134896755,0.97985387,544,0.0819714143872261
73,0.0005051792832091451,0.0051470668986439705,0.98091537,542,0.08197926729917526
74,0.0004657480167225003,0.0049781519919633865,0.98156005,538,0.08205843716859818
75,0.00042194954585283995,0.004787729121744633,0.9820404,537,0.08214249461889267
76,0.0003982882190030068,0.00467623071745038,0.9825055,536,0.08217982947826385
77,0.00037155169411562383,0.004533815663307905,0.98277545,533,0.08220775425434113
78,0.0003501379687804729,0.004416992422193289,0.98317385,535,0.08229885250329971
79,0.0003289211599621922,0.004286468029022217,0.9836095,534,0.08226945996284485
80,0.0003069619124289602,0.004165094345808029,0.98411524,534,0.08227936178445816
81,0.00028712660423479974,0.004065760876983404,0.9848041,531,0.08227362483739853
82,0.0002777855552267283,0.004007738549262285,0.9851451,531,0.0822770968079567
83,0.00026001851074397564,0.0038808679673820734,0.9860624,528,0.08224467933177948
84,0.00025139411445707083,0.0037881736643612385,0.98658204,528,0.08218882232904434
85,0.00024046192993409932,0.0037209067959338427,0.9872278,527,0.0821589007973671
86,0.00023323135974351317,0.00366196152754128,0.98767984,522,0.08209998160600662
87,0.00022742421424482018,0.0036233756691217422,0.9880455,521,0.08207282423973083
88,0.0002204981428803876,0.003576715709641576,0.98825973,521,0.0820627212524414
89,0.00021351745817810297,0.00352921593002975,0.9884479,521,0.08203379064798355
90,0.00020751202828250825,0.0034935742150992155,0.98881155,521,0.0820041224360466
91,0.00020077892986591905,0.0034503473434597254,0.9891837,521,0.08198907971382141
92,0.0001958559441845864,0.0034028717782348394,0.98952234,521,0.08195844292640686
93,0.0001917370391311124,0.0033681164495646954,0.989734,520,0.08192034065723419
94,0.00018410738266538829,0.0033095029648393393,0.9900187,521,0.08187457174062729
95,0.00017782070790417492,0.003249548841267824,0.9902588,520,0.08185090124607086
96,0.0001705189934000373,0.0031867402140051126,0.9905851,519,0.08182621002197266
97,0.0001663334551267326,0.0031371205113828182,0.9907246,518,0.08181146532297134
98,0.00016085378592833877,0.0030987041536718607,0.99086136,518,0.08176858723163605
99,0.00015743455151095986,0.0030693444423377514,0.9908943,518,0.08174873143434525
