step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.11603854596614838,0.1354404240846634,0.6576254,1,0.00019290123600512743
1,0.11594891548156738,0.13537351787090302,0.6576785,3,0.00024668016703799367
2,0.11566953361034393,0.13521677255630493,0.6577855,6,0.00044600554974749684
3,0.1151842549443245,0.13490994274616241,0.65783846,17,0.00087447848636657
4,0.11475887894630432,0.1346595734357834,0.657879,24,0.0012983916094526649
5,0.11418981850147247,0.13424360752105713,0.6579168,31,0.001990830758586526
6,0.11350380629301071,0.13372984528541565,0.65808666,38,0.0028444959316402674
7,0.11281362175941467,0.13323912024497986,0.65842426,53,0.0038248731289058924
8,0.11117153614759445,0.13208085298538208,0.65932465,70,0.00584656884893775
9,0.10986337810754776,0.13105826079845428,0.6600837,83,0.007543516810983419
10,0.10838210582733154,0.12976644933223724,0.66058475,101,0.00985904410481453
11,0.10646651685237885,0.12830299139022827,0.66127557,120,0.012586984783411026
12,0.10474248230457306,0.12673509120941162,0.66213083,137,0.015152051113545895
13,0.10296762734651566,0.12511344254016876,0.6616469,156,0.018515856936573982
14,0.1010369062423706,0.12335838377475739,0.6615062,178,0.02238745242357254
15,0.09919293969869614,0.12151066213846207,0.66175985,201,0.02642081119120121
16,0.09736599028110504,0.11990267038345337,0.661228,220,0.030267151072621346
17,0.09573373943567276,0.11850906908512115,0.66044015,242,0.033760156482458115
18,0.09350026398897171,0.11663489788770676,0.6597133,274,0.03803357854485512
19,0.09123029559850693,0.1148630753159523,0.65932846,295,0.042157262563705444
20,0.08923868834972382,0.1130373477935791,0.6595811,314,0.046749047935009
21,0.08693314343690872,0.110881008207798,0.66118175,339,0.05129707604646683
22,0.08404701948165894,0.10828325152397156,0.6626517,367,0.05682944133877754
23,0.08101146668195724,0.10539460182189941,0.66395473,394,0.06297240406274796
24,0.07832800596952438,0.10278007388114929,0.66631746,416,0.06849260628223419
25,0.07537809014320374,0.0999612957239151,0.6683711,439,0.07347522675991058
26,0.07267323136329651,0.09722825884819031,0.66991925,470,0.07871169596910477
27,0.07006414979696274,0.09460648149251938,0.6722723,493,0.08329961448907852
28,0.06701568514108658,0.09181753545999527,0.67345273,525,0.08851784467697144
29,0.06407246738672256,0.08885469287633896,0.6753899,553,0.09399757534265518
30,0.0615667887032032,0.08625070005655289,0.6781707,573,0.09847237914800644
31,0.058342110365629196,0.08280501514673233,0.6822419,601,0.10361544042825699
32,0.05510203540325165,0.07951349020004272,0.687468,627,0.10839902609586716
33,0.051792699843645096,0.07600919902324677,0.6925571,654,0.11338426917791367
34,0.0489693321287632,0.07286282628774643,0.6978088,676,0.11782557517290115
35,0.04628519341349602,0.07009656727313995,0.7023337,696,0.12180154025554657
36,0.04337119311094284,0.06696939468383789,0.70803446,711,0.1262277364730835
37,0.04007802903652191,0.06345699727535248,0.7153466,744,0.13102442026138306
38,0.03736096993088722,0.06026265025138855,0.72230285,761,0.13481950759887695
39,0.03464094176888466,0.05715472623705864,0.730069,791,0.1384296715259552
40,0.03177401423454285,0.05382305383682251,0.7387353,808,0.14259520173072815
41,0.029145950451493263,0.050724949687719345,0.7473596,825,0.14615051448345184
42,0.026725271716713905,0.047744717448949814,0.75515103,843,0.14941483736038208
43,0.0243789441883564,0.044763918966054916,0.7638413,864,0.15295059978961945
44,0.022070787847042084,0.04200281202793121,0.77348816,887,0.1562366783618927
45,0.020061960443854332,0.03955799713730812,0.782695,902,0.1590021699666977
46,0.018002362921833992,0.037055663764476776,0.7923981,915,0.16200201213359833
47,0.01605003885924816,0.03463306650519371,0.803356,931,0.16483928263187408
48,0.014273999258875847,0.032242532819509506,0.8147622,943,0.16746778786182404
49,0.012712194584310055,0.0300794318318367,0.8259296,956,0.16985438764095306
50,0.010937273502349854,0.02766486443579197,0.8385955,975,0.17264340817928314
51,0.009573571383953094,0.025660062208771706,0.8493469,983,0.17482352256774902
52,0.008287412114441395,0.023651376366615295,0.86152065,996,0.177078977227211
53,0.007053335662931204,0.02172795869410038,0.8739431,1003,0.17928357422351837
54,0.00594062265008688,0.019950594753026962,0.8860859,1014,0.18127591907978058
55,0.0050544291734695435,0.0183991938829422,0.8969669,1028,0.1830875426530838
56,0.004266949836164713,0.016921525821089745,0.9075795,1039,0.18472525477409363
57,0.00349983898922801,0.015565712936222553,0.91726893,1043,0.18648606538772583
58,0.002850585151463747,0.014279820024967194,0.92566144,1049,0.1880154013633728
59,0.002507023513317108,0.01341621857136488,0.93076396,1055,0.18917380273342133
60,0.002152099506929517,0.012633262202143669,0.93581927,1061,0.19033049046993256
61,0.001859785057604313,0.011824836023151875,0.9404492,1064,0.19146490097045898
62,0.0016285637393593788,0.011153891682624817,0.9440842,1067,0.19234266877174377
63,0.0014339638873934746,0.010570483282208443,0.9474919,1069,0.19303740561008453
64,0.0012922660680487752,0.010114745236933231,0.9500547,1071,0.19369211792945862
65,0.0011869675945490599,0.009726507589221,0.9521891,1074,0.19438301026821136
66,0.0011135183740407228,0.009408820420503616,0.9539759,1075,0.19495490193367004
67,0.001034940010868013,0.009102369658648968,0.9557498,1078,0.19544318318367004
68,0.0009772292105481029,0.008870898745954037,0.95687777,1079,0.19589626789093018
69,0.000906327273696661,0.00855880044400692,0.9585877,1078,0.19625115394592285
70,0.0008599588181823492,0.008356682024896145,0.9597565,1079,0.1964963674545288
71,0.0008203787147067487,0.008135723881423473,0.9607535,1078,0.19668833911418915
72,0.0007914932211861014,0.007974246516823769,0.96165323,1079,0.19679391384124756
73,0.0007708876510150731,0.007855174131691456,0.96238494,1079,0.19691655039787292
74,0.0007558982470072806,0.007757741957902908,0.9628507,1080,0.1969698965549469
75,0.0007325951009988785,0.007624323945492506,0.96363413,1081,0.1970052868127823
76,0.0007178375381045043,0.007556344382464886,0.96413684,1080,0.19698967039585114
77,0.0007043677615001798,0.007477941922843456,0.96442086,1080,0.19696928560733795
78,0.0006939278682693839,0.007425387855619192,0.9645661,1081,0.19687645137310028
79,0.0006826597382314503,0.007379557006061077,0.96461177,1081,0.1968451887369156
