step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.11603854596614838,0.1354404240846634,0.6576254,1,0.00019290123600512743
1,0.11573638767004013,0.13522301614284515,0.65774465,6,0.00045303491060622036
2,0.11530664563179016,0.1349402517080307,0.6579161,11,0.0009036047849804163
3,0.1149994432926178,0.13469621539115906,0.65794355,15,0.0013756053522229195
4,0.11430902779102325,0.13420036435127258,0.65804255,23,0.0024360057432204485
5,0.11371147632598877,0.13371722400188446,0.65827066,33,0.004156720358878374
6,0.11353965848684311,0.13340982794761658,0.65863657,43,0.005881790537387133
7,0.11365683376789093,0.1331857293844223,0.65897477,55,0.008656335063278675
8,0.11450929939746857,0.13339658081531525,0.65933585,65,0.010941717773675919
9,0.11501279473304749,0.13311393558979034,0.6600901,81,0.015039910562336445
10,0.11621847003698349,0.13305288553237915,0.6611782,100,0.020382126793265343
11,0.11704497039318085,0.1328221559524536,0.66215616,116,0.024861888960003853
12,0.11638826131820679,0.13181795179843903,0.66432,141,0.03018292412161827
13,0.11561665683984756,0.13088805973529816,0.6653719,160,0.03432450443506241
14,0.11532816290855408,0.13008786737918854,0.6656866,175,0.03859572485089302
15,0.11574940383434296,0.13003329932689667,0.6645869,198,0.04418187215924263
16,0.11447563022375107,0.12937818467617035,0.66209716,228,0.04933395981788635
17,0.11245608329772949,0.12824997305870056,0.66084737,259,0.05393018200993538
18,0.11174236238002777,0.12745431065559387,0.6581431,285,0.05968291684985161
19,0.1104106456041336,0.12663431465625763,0.6564691,315,0.06559363752603531
20,0.10815606266260147,0.12504763901233673,0.6556814,347,0.07115930318832397
21,0.10575850307941437,0.12284384667873383,0.65676904,375,0.07691389322280884
22,0.10219074785709381,0.12032925337553024,0.65694743,405,0.08282442390918732
23,0.09913550317287445,0.11817818135023117,0.6573075,424,0.08752430975437164
24,0.09473636001348495,0.11482198536396027,0.65932375,456,0.09283462911844254
25,0.09067438542842865,0.11182144284248352,0.66181886,482,0.09762821346521378
26,0.08633795380592346,0.10831331461668015,0.6646172,513,0.1029006838798523
27,0.08115100115537643,0.1041160598397255,0.66912174,549,0.108087919652462
28,0.07677233964204788,0.10048441588878632,0.6733657,567,0.11270499229431152
29,0.07144644856452942,0.09607089310884476,0.6780723,595,0.11778973788022995
30,0.06641924381256104,0.09143120795488358,0.6845004,627,0.12222825735807419
31,0.06136612221598625,0.0866415724158287,0.69133866,652,0.12657813727855682
32,0.05690167099237442,0.08225582540035248,0.69745576,672,0.1300552785396576
33,0.05232381075620651,0.07772327959537506,0.7045797,698,0.1335163414478302
34,0.04782218113541603,0.07324599474668503,0.71281844,737,0.13739842176437378
35,0.04350518435239792,0.06881323456764221,0.7216075,768,0.1411556899547577
36,0.0395602285861969,0.06456384807825089,0.730576,791,0.14520317316055298
37,0.035866182297468185,0.06065583974123001,0.73965263,819,0.14883509278297424
38,0.03214048594236374,0.05638203024864197,0.74964035,836,0.15213742852210999
