step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.11603854596614838,0.1354404240846634,0.6576254,1,0.00019290123600512743
1,0.11570393294095993,0.13524553179740906,0.6576523,6,0.000559745472855866
2,0.11535128951072693,0.13502901792526245,0.65772825,9,0.001030812505632639
3,0.11493054032325745,0.1346774399280548,0.6578625,12,0.0021497986745089293
4,0.1147800013422966,0.1344688981771469,0.65795374,16,0.002957915188744664
5,0.11465854197740555,0.1341520994901657,0.65831214,29,0.005733277648687363
6,0.11554719507694244,0.13406240940093994,0.6586769,35,0.008897948078811169
7,0.11529312282800674,0.13348105549812317,0.65924287,46,0.012173734605312347
8,0.11811504513025284,0.13389074802398682,0.6599137,60,0.01806299388408661
9,0.11978277564048767,0.13410313427448273,0.6605769,75,0.022806258872151375
10,0.12092465162277222,0.13411752879619598,0.6617813,90,0.029596734791994095
11,0.12072598189115524,0.13357524573802948,0.6626692,109,0.035855598747730255
12,0.12008535116910934,0.1332036256790161,0.6632852,128,0.04144475609064102
13,0.11919107288122177,0.13276825845241547,0.6635939,145,0.04658766835927963
14,0.11842932552099228,0.1319856196641922,0.6640699,168,0.05248119682073593
15,0.11843245476484299,0.1317962259054184,0.6636697,198,0.05864415317773819
16,0.11828024685382843,0.13166958093643188,0.662746,221,0.06504102051258087
17,0.11863073706626892,0.1313602775335312,0.6615033,231,0.07050687819719315
18,0.11930529028177261,0.13195030391216278,0.65988326,250,0.07662659883499146
19,0.11984062194824219,0.1322280913591385,0.65797555,272,0.08366023004055023
20,0.11908380687236786,0.1318635493516922,0.65640384,292,0.08900079876184464
21,0.11707740277051926,0.1311458945274353,0.6551948,318,0.09372952580451965
22,0.11534234881401062,0.13030239939689636,0.65399766,344,0.09917932748794556
23,0.11327902227640152,0.12868918478488922,0.6537581,370,0.10483658313751221
24,0.11009690910577774,0.12675318121910095,0.6535739,387,0.1081843227148056
25,0.10687320679426193,0.12443453073501587,0.654785,412,0.11235965043306351
26,0.10334836691617966,0.1218724399805069,0.6559311,437,0.11791269481182098
27,0.09901874512434006,0.11859752237796783,0.65702736,461,0.12264017760753632
28,0.09585636854171753,0.11622593551874161,0.6574259,478,0.12715575098991394
29,0.08986635506153107,0.11201486736536026,0.6606604,514,0.13140073418617249
30,0.08473312854766846,0.10775434225797653,0.66334707,549,0.13438643515110016
31,0.07909491658210754,0.10316252708435059,0.66714215,572,0.13634833693504333
32,0.0744129866361618,0.09921067208051682,0.6709604,605,0.13927896320819855
33,0.06847159564495087,0.09435286372900009,0.6748691,632,0.141135573387146
34,0.06291605532169342,0.08949275314807892,0.67981356,664,0.14394673705101013
35,0.05841150879859924,0.08507313579320908,0.6850803,686,0.14565281569957733
36,0.05372997745871544,0.08084749430418015,0.69098634,720,0.14770448207855225
37,0.049831341952085495,0.07711603492498398,0.6979177,739,0.14960458874702454
38,0.04556949809193611,0.07305309921503067,0.7047673,757,0.15170153975486755
39,0.04176028445363045,0.06894460320472717,0.71220154,785,0.15312156081199646
40,0.038211435079574585,0.06482305377721786,0.7198926,803,0.15409788489341736
41,0.03509515896439552,0.0615692064166069,0.72783387,830,0.15584301948547363
42,0.03159739077091217,0.05755391716957092,0.73791313,852,0.1582798808813095
43,0.02840643748641014,0.054033175110816956,0.74783397,876,0.16057899594306946
44,0.025290388613939285,0.05029144883155823,0.7583987,897,0.16268016397953033
45,0.022474173456430435,0.04689253866672516,0.769939,923,0.16462257504463196
46,0.02024720422923565,0.044000573456287384,0.78040314,940,0.16627344489097595
47,0.01760764606297016,0.04088995233178139,0.793471,963,0.16903896629810333
48,0.015551694668829441,0.038279637694358826,0.80520004,977,0.1712777018547058
49,0.01374080777168274,0.035650528967380524,0.81643736,991,0.17285142838954926
