step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.025935914367437363,0.04643649235367775,0.68665737,1,0.00019290123600512743
1,0.02584191970527172,0.04635760933160782,0.6867717,6,0.00047449205885641277
2,0.02561238594353199,0.04605632647871971,0.68753374,9,0.0010717473924160004
3,0.02558167278766632,0.04597404971718788,0.6883364,13,0.0018204316729679704
4,0.02562980353832245,0.04597241058945656,0.6894062,21,0.0030372566543519497
5,0.026307344436645508,0.04618005454540253,0.69000435,32,0.00470651313662529
6,0.02663399837911129,0.046371087431907654,0.6901636,40,0.00553109310567379
7,0.026850270107388496,0.046614695340394974,0.6905559,57,0.007208037655800581
8,0.027462942525744438,0.04696952924132347,0.69148827,68,0.008765077218413353
9,0.02729613147675991,0.0470687672495842,0.6926197,81,0.010527710430324078
10,0.027295712381601334,0.04726208746433258,0.69232625,97,0.011957323178648949
11,0.02775224670767784,0.047345440834760666,0.6931237,105,0.012320691719651222
12,0.028564289212226868,0.04729165881872177,0.6948899,128,0.013885321095585823
13,0.029937496408820152,0.047849614173173904,0.69676054,138,0.016596302390098572
14,0.031486209481954575,0.04837578162550926,0.69875705,152,0.018110113218426704
15,0.030826320871710777,0.04812110587954521,0.701798,169,0.018396418541669846
16,0.03034944273531437,0.04731515422463417,0.70682967,183,0.02088283747434616
17,0.030423946678638458,0.047397494316101074,0.70887864,186,0.021802110597491264
18,0.030164359137415886,0.04721640795469284,0.71211064,206,0.02417564205825329
19,0.030788615345954895,0.047120530158281326,0.71520483,224,0.026959910988807678
20,0.030534708872437477,0.04738306254148483,0.7162134,243,0.028770826756954193
21,0.030439360067248344,0.047553062438964844,0.7174043,262,0.03125815838575363
22,0.030040446668863297,0.04800804331898689,0.7162499,274,0.03229218348860741
23,0.02917400188744068,0.04816016927361488,0.7159613,294,0.034346580505371094
24,0.02829974889755249,0.04804369434714317,0.7151676,305,0.03625243529677391
25,0.027050957083702087,0.048124030232429504,0.7147622,326,0.03799424320459366
26,0.027211543172597885,0.048641104251146317,0.7128634,345,0.03881524130702019
27,0.0263843797147274,0.04837879538536072,0.71302867,366,0.04038049653172493
28,0.02555200830101967,0.04817013815045357,0.7128011,385,0.041721832007169724
29,0.02488391473889351,0.04810921847820282,0.7122291,407,0.04382292926311493
30,0.02492786943912506,0.048115912824869156,0.71255606,437,0.045282989740371704
31,0.02431395836174488,0.047421593219041824,0.7150261,445,0.04625385254621506
32,0.024171143770217896,0.047050680965185165,0.71670413,466,0.048761822283267975
33,0.0238555409014225,0.04668295755982399,0.71782094,483,0.050473276525735855
34,0.02336801402270794,0.04573478177189827,0.72317123,504,0.052512411028146744
35,0.02261742763221264,0.04491954296827316,0.7275123,514,0.05267086625099182
36,0.020938729867339134,0.043434157967567444,0.7354917,523,0.05403473973274231
37,0.019616013392806053,0.04181636869907379,0.74542403,545,0.05531143769621849
38,0.018422840163111687,0.04057447984814644,0.75407046,557,0.055967941880226135
39,0.017166102305054665,0.038960088044404984,0.76374227,568,0.05734305828809738
40,0.016007840633392334,0.03736703097820282,0.77425295,581,0.058847181499004364
41,0.014928541146218777,0.035946011543273926,0.78547513,588,0.059994880110025406
42,0.013491095043718815,0.03413069248199463,0.79901654,588,0.06105073168873787
43,0.012327609583735466,0.032416507601737976,0.81226444,598,0.06241438537836075
44,0.011164490133523941,0.030627509579062462,0.82708764,612,0.06466300040483475
45,0.010099801234900951,0.028858117759227753,0.8399751,617,0.06606004387140274
46,0.009182567708194256,0.027237460017204285,0.85284853,621,0.06734095513820648
47,0.008357171900570393,0.02575935609638691,0.8643019,635,0.06832688301801682
48,0.007617134600877762,0.02429536171257496,0.875463,644,0.06947129219770432
49,0.006840014364570379,0.022915199398994446,0.88682795,648,0.07064127177000046
50,0.006018509157001972,0.021567773073911667,0.8975463,649,0.07184656709432602
51,0.005438592284917831,0.02039085142314434,0.90632296,642,0.07284058630466461
52,0.004962952807545662,0.019397741183638573,0.91364783,637,0.07337406277656555
