step,loss_mse,mae,ssim,alive_count,mean_alpha
0,0.025935914367437363,0.04643649235367775,0.68665737,1,0.00019290123600512743
1,0.025882529094815254,0.04639099910855293,0.68669057,4,0.00020929466700181365
2,0.02563541941344738,0.046084191650152206,0.68760645,9,0.0007064889068715274
3,0.025496112182736397,0.04589338228106499,0.6882912,13,0.001082704751752317
4,0.025327520444989204,0.04574182257056236,0.6893647,21,0.0017677847063168883
5,0.025232527405023575,0.04566609114408493,0.6891744,29,0.002217721426859498
6,0.024989565834403038,0.045435935258865356,0.69047356,41,0.003476998768746853
7,0.024727754294872284,0.04515150934457779,0.6922007,51,0.0045978170819580555
8,0.024694330990314484,0.0453314371407032,0.6917644,63,0.005956786684691906
9,0.024604057893157005,0.04542433097958565,0.69128084,79,0.006849728990346193
10,0.024545943364501,0.045571956783533096,0.6913632,93,0.008078321814537048
11,0.02460835874080658,0.04586837440729141,0.6901509,107,0.00934650469571352
12,0.0243525467813015,0.04554157704114914,0.6915178,130,0.01124247070401907
13,0.023953819647431374,0.045242805033922195,0.69323695,153,0.013020394369959831
14,0.02350909262895584,0.04472361132502556,0.69556504,169,0.01426838617771864
15,0.023177003487944603,0.04444286972284317,0.69719803,183,0.015559135936200619
16,0.022670604288578033,0.04385705292224884,0.700919,198,0.016753895208239555
17,0.02215617336332798,0.043351124972105026,0.7053075,223,0.018759271129965782
18,0.021494917571544647,0.04248659685254097,0.71205413,240,0.020285876467823982
19,0.02115338109433651,0.042038530111312866,0.7155718,253,0.021637242287397385
20,0.020665187388658524,0.04149022698402405,0.7197915,274,0.023317767307162285
21,0.020323464646935463,0.041296157985925674,0.7221889,289,0.02492179349064827
22,0.02004886418581009,0.04104685038328171,0.72447205,303,0.026364708319306374
23,0.019701257348060608,0.04077818989753723,0.7266142,323,0.02775009535253048
24,0.019572094082832336,0.04081573337316513,0.7265214,345,0.029610810801386833
25,0.019431525841355324,0.04088585078716278,0.7265166,362,0.03124311752617359
26,0.01936732605099678,0.04117625579237938,0.72530204,384,0.03254466503858566
27,0.019359281286597252,0.04141707345843315,0.7244773,393,0.03385574370622635
28,0.01920587755739689,0.04134490340948105,0.7252709,406,0.034917693585157394
29,0.019012024626135826,0.041307106614112854,0.72580326,420,0.03628096729516983
30,0.018695730715990067,0.0411059632897377,0.7273483,444,0.037848323583602905
31,0.01842278242111206,0.04081576317548752,0.7285239,465,0.03945097327232361
32,0.018085438758134842,0.0402832105755806,0.73107743,481,0.04098042845726013
33,0.017660578712821007,0.03959950804710388,0.73449314,499,0.042054206132888794
34,0.01708616316318512,0.03880427032709122,0.73980606,519,0.04357841983437538
35,0.016531020402908325,0.03793708607554436,0.74526036,518,0.044993408024311066
36,0.016051141545176506,0.037188053131103516,0.7497897,544,0.04657752439379692
37,0.015451177954673767,0.036343663930892944,0.75547385,558,0.04820011183619499
38,0.01478827465325594,0.03527269512414932,0.7627995,580,0.04977405071258545
39,0.014151215553283691,0.03435756638646126,0.76979107,589,0.05130500718951225
40,0.013456220738589764,0.033364783972501755,0.7779451,599,0.0530053935945034
41,0.012761034071445465,0.032326485961675644,0.7865997,598,0.054327476769685745
42,0.012063645757734776,0.031244652345776558,0.7956058,616,0.055956557393074036
43,0.011413771659135818,0.030180925503373146,0.8048943,621,0.05744288116693497
44,0.0106577193364501,0.02900930680334568,0.8151264,636,0.05911284312605858
45,0.009878245182335377,0.027840744704008102,0.82600737,646,0.0605597198009491
46,0.009255209937691689,0.026865417137742043,0.83516335,656,0.06184884160757065
47,0.008577078580856323,0.02585006318986416,0.84553576,660,0.06318280100822449
48,0.007991001009941101,0.024881422519683838,0.8549212,657,0.06435524672269821
49,0.007399371359497309,0.023859750479459763,0.8646525,664,0.06578207015991211
50,0.006809945683926344,0.022789517417550087,0.87461966,661,0.06718345731496811
51,0.006258117500692606,0.0217581819742918,0.8840551,666,0.06849291175603867
52,0.0057744551450014114,0.02086147852241993,0.8927908,665,0.06983866542577744
53,0.00526663800701499,0.019903652369976044,0.9018207,677,0.07120061665773392
54,0.0048486641608178616,0.01913502998650074,0.9091896,680,0.07232266664505005
55,0.0043791839852929115,0.018185801804065704,0.91722053,683,0.07350322604179382
56,0.003934655804187059,0.017238201573491096,0.9251285,674,0.07450376451015472
57,0.0035721412859857082,0.016440855339169502,0.931426,673,0.07536938786506653
58,0.003232521703466773,0.015553812496364117,0.93782634,671,0.07626167684793472
59,0.0029444098472595215,0.014770537614822388,0.94313294,667,0.07709259539842606
60,0.0026413577143102884,0.014056638814508915,0.9485837,667,0.0780363380908966
61,0.0023956128861755133,0.013418350368738174,0.952769,666,0.07860752195119858
62,0.002167732920497656,0.012816607020795345,0.9565582,667,0.07928643375635147
63,0.0019392706453800201,0.012174041010439396,0.96116,666,0.07995381206274033
64,0.0017657813150435686,0.011702378280460835,0.96407366,671,0.08055124431848526
65,0.0016361857997253537,0.01122076716274023,0.9660676,669,0.08111488819122314
66,0.0015031119110062718,0.010818881914019585,0.9680443,669,0.08136459439992905
67,0.0013694498920813203,0.010370026342570782,0.97017044,669,0.08186502009630203
68,0.0012559598544612527,0.009996849112212658,0.9713973,667,0.08220324665307999
69,0.0011809765128418803,0.009728056378662586,0.9725256,664,0.08238544315099716
70,0.0011150484206154943,0.009487222880125046,0.9734732,661,0.0826188325881958
71,0.0010414442513138056,0.009191085584461689,0.9746381,659,0.08282950520515442
72,0.0009787377202883363,0.008906343020498753,0.9755086,658,0.08302508294582367
73,0.0009124271455220878,0.008612964302301407,0.9764974,653,0.08323028683662415
74,0.0008633079705759883,0.008358927443623543,0.97725075,653,0.08344092220067978
75,0.0008198166615329683,0.008158805780112743,0.97796106,652,0.08370818942785263
76,0.0007677352405153215,0.00789718423038721,0.97944176,651,0.08376041799783707
77,0.0007287467014975846,0.007717491593211889,0.980202,646,0.08390361070632935
78,0.0006990213878452778,0.0075912815518677235,0.98065615,645,0.08397024869918823
79,0.0006648906855843961,0.007441065274178982,0.98133326,642,0.08401516824960709
80,0.0006353533826768398,0.007262946106493473,0.98209524,636,0.0840085968375206
81,0.0006078072474338114,0.007086466066539288,0.98248804,630,0.08402765542268753
